candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0086,-0.0225,-0.0025,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.315198396421966,11.645884962380633,16.945534181989466,6.034961293176504,128.11485656355535,23.465809323454533,True
MYOLEG_V3_K0087,-0.0225,0.0,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.290056421386033,11.644354155843628,17.826758226796514,6.082075492152444,171.58937243907474,25.805576061231868,True
MYOLEG_V3_K0088,-0.0225,0.0025,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.314630669960493,11.64323506257352,17.865212079480465,6.056393090673575,141.23249587058237,23.49641226009136,True
MYOLEG_V3_K0089,-0.0225,0.005,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.371180414327203,11.642524516644444,17.89797162406506,6.055462409552036,110.64710342409822,22.548719899836502,True
MYOLEG_V3_K0090,-0.0225,0.0075,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418255555050578,11.642215486800835,17.924953109095192,6.079497952436576,135.34652626527935,23.144402069149862,True
MYOLEG_V3_K0091,-0.0225,0.01,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418600416398924,11.64230776059424,17.94607278312255,6.1183483075756575,168.8268843037757,24.612793763722486,True
MYOLEG_V3_K0092,-0.0225,0.0125,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.514885086683094,11.642809421272341,18.42832285967733,6.1169548018068465,138.34003903761916,23.42993544182597,True
MYOLEG_V3_K0093,-0.0225,0.015,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.616864610630216,11.643713827816187,19.1336424547948,6.1262341866787775,107.57446725364329,22.73104699205815,True
MYOLEG_V3_K0094,-0.0225,0.0175,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.670776504568437,11.645013078174069,19.18761383075747,6.157023185375332,146.80403839323492,23.381850000736094,True
MYOLEG_V3_K0095,-0.0225,0.02,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69770847157522,11.64671174992905,19.236135979165837,6.190972809501808,169.39979209628154,24.28741696083727,True
MYOLEG_V3_K0096,-0.0225,0.0225,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.856772910770637,11.64881332956225,19.279124433876387,6.1981494830522195,138.62039526569848,23.438015133498343,True
MYOLEG_V3_K0097,-0.0225,0.025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.968470969733104,11.651303041636352,19.316494728764795,6.222483608370065,129.22125481815627,23.277248211383085,True
MYOLEG_V3_K0098,-0.0225,0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.032417606193224,11.65417785120826,19.741422595163087,6.261852173200309,155.56153811782542,24.02342071657447,True
MYOLEG_V3_K0099,-0.0225,0.03,0.8969656089543517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1233380058049,11.657457268118279,20.709464944166353,6.2936016606626275,174.05830523484076,24.402273663546886,True
MYOLEG_V3_K0100,-0.02,-0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.826181129143148,11.699156923634371,15.562447731862543,6.05861106607394,133.79963387771448,23.907544183259972,True
MYOLEG_V3_K0101,-0.02,-0.0275,0.9055518082081557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.745057055992522,11.693169055702365,16.045520479803653,6.049122248425481,162.80055942219457,23.935830970659563,True
MYOLEG_V3_K0102,-0.02,-0.025,0.9141380074619597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63648689763539,11.687608061572298,16.09718079722128,6.029533772633502,133.02105938186398,23.11272014035968,True
MYOLEG_V3_K0103,-0.02,-0.0225,0.9227242067157637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.582100930702534,11.682441693999907,16.542566855703566,6.03072875240239,160.99737786428645,23.616536131767855,True
MYOLEG_V3_K0104,-0.02,-0.02,0.9313104059695678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53578196455092,11.677648373820299,16.09720206792273,6.039669144724797,145.30335060383544,24.24014343921755,True
