subject_id,scenario_name,trial_id,parameter,sensitivity,uncertainty_proxy,optimizer_standard_error,recovery_stability_relative_change,maximum_abs_correlation_with_other_parameter,parameter_supported_by_research_rule,rank,minimum_singular_value,condition_number,maximum_abs_parameter_correlation,highest_correlation_pair,weakest_parameter,training_residual_rmse_nm,within_identification_validation_residual_rmse_nm,case_id,estimate,delta_theta,normalized_parameter_change,maximum_normalized_parameter_change_in_trial,gate,validation_residual_used_by_gate,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
hip_stiff,matched_linear,2,mass_scale,514.6873180884206,0.0020908696481650173,8.372270509913749e-16,0.0,0.26672554379959756,False,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,hip_stiff__matched_linear,0.9999999999999999,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,2,k_hip_nm_per_rad,624.8411189571807,0.0016654063300654254,1.318073806244824e-14,0.0,0.26428001317383526,False,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,hip_stiff__matched_linear,30.0,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,2,k_knee_nm_per_rad,717.8220942321049,0.0014491697443531882,3.657810526723225e-14,0.0,0.26672554379959795,False,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,hip_stiff__matched_linear,11.999999999999893,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,2,b_hip_nm_s_per_rad,21.067708598690707,0.04770125999066246,5.6580350381111916e-14,0.0,0.06804817224368963,False,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,hip_stiff__matched_linear,1.9999999999999998,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,2,b_knee_nm_s_per_rad,28.310072605905013,0.035414577244401745,1.3862090545341067e-13,0.0,0.06681820355802351,False,5,20.96369007201361,35.457189637445374,0.26672554379959795,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.3017056818636558e-12,1.2926694646149652e-12,hip_stiff__matched_linear,1.4999999999950528,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,3,mass_scale,630.1077114913672,0.0017056766599310184,6.589513147890643e-16,0.0,0.266915368138985,False,5,24.733189237319085,36.766525555635724,0.266915368138985,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.2481457362426231e-12,1.2397424779437968e-12,hip_stiff__matched_linear,0.9999999999999999,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,3,k_hip_nm_per_rad,767.5581007119509,0.0013538098635370545,1.0337802316882549e-14,0.0,0.2592415854947621,False,5,24.733189237319085,36.766525555635724,0.266915368138985,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.2481457362426231e-12,1.2397424779437968e-12,hip_stiff__matched_linear,30.0,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,3,k_knee_nm_per_rad,878.0017167443815,0.0011848395613465778,2.865787951610388e-14,0.0,0.26691536813898475,False,5,24.733189237319085,36.766525555635724,0.266915368138985,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.2481457362426231e-12,1.2397424779437968e-12,hip_stiff__matched_linear,11.999999999999893,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,3,b_hip_nm_s_per_rad,24.855750052614,0.04043129297598866,4.627229459416301e-14,0.0,0.06822992500336172,False,5,24.733189237319085,36.766525555635724,0.266915368138985,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.2481457362426231e-12,1.2397424779437968e-12,hip_stiff__matched_linear,1.9999999999999998,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,3,b_knee_nm_s_per_rad,33.24263810260075,0.030159414333019805,1.1312326016599683e-13,0.0,0.06664742258192148,False,5,24.733189237319085,36.766525555635724,0.266915368138985,mass_scale|k_knee_nm_per_rad,b_hip_nm_s_per_rad,1.2481457362426231e-12,1.2397424779437968e-12,hip_stiff__matched_linear,1.4999999999950528,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,4,mass_scale,727.43762488538,0.001478667582763051,5.568057781012233e-16,0.0,0.26670334385647143,False,5,27.89289320575598,37.715594597424214,0.2667033438564715,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.223928989265128e-12,1.2157332820014443e-12,hip_stiff__matched_linear,0.9999999999999999,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
hip_stiff,matched_linear,4,k_hip_nm_per_rad,884.6573071534428,0.0011757084887663275,8.750414459597825e-15,0.0,0.2625874744184865,False,5,27.89289320575598,37.715594597424214,0.2667033438564715,k_knee_nm_per_rad|mass_scale,b_hip_nm_s_per_rad,1.223928989265128e-12,1.2157332820014443e-12,hip_stiff__matched_linear,30.0,0.0,0.0,0.0,PARAMETER_IDENTIFIABILITY_GATE,False,PARAMETER_IDENTIFIABILITY_THRESHOLD_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,True,False
