case_id,subject_id,scenario_name,trial_id,temporary_parameter_name,validation_trajectory_count,validation_sample_count,validation_hip_rmse_nm,validation_knee_rmse_nm,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_nrmse_unreliable_small_range,validation_j_actual,validation_j_predicted,validation_e_j,validation_relative_e_j_percent,mechanical_objective_interpretation,gate,training_residual_used_by_gate,heldout_final_test_used,truth_parameters_used_by_decision,threshold_status,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,theta_hat_ID_2,2,3002,0.006110961268154324,0.014283283729239789,0.010985354835207838,0.0267126916011283,False,1.0,0.9998806518235781,0.00011934817642189621,0.011934817642189621,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,theta_hat_ID_3,2,3002,0.005703906275538297,0.014866904588468711,0.011259649169551359,0.02737968325239221,False,1.0,0.9998882424447602,0.00011175755523984421,0.01117575552398442,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,4,theta_hat_ID_4,2,3002,0.005450034858481212,0.015176151766149417,0.01140215905843846,0.027726219415225233,False,1.0,0.9998912408182594,0.00010875918174058086,0.010875918174058086,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,5,theta_hat_ID_5,2,3002,0.005163315076351366,0.015599851500335073,0.011619276858096286,0.028254176946900664,False,1.0,0.9998963935940173,0.00010360640598272575,0.010360640598272575,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,1,theta_hat_ID_1,2,3002,0.10642168497453112,0.27030589577507197,0.20541525299205804,0.512150980870972,False,1.0,0.9943979400094438,0.005602059990556185,0.5602059990556185,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,2,theta_hat_ID_2,2,3002,0.10647083638282942,0.27028418734652554,0.20541370564014338,0.5121471229403204,False,1.0,0.9943977066088944,0.005602293391105628,0.5602293391105628,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,3,theta_hat_ID_3,2,3002,0.10510889901089492,0.2702551225510992,0.20504354649243675,0.5112242247240733,False,1.0,0.9943966517362836,0.0056033482637164456,0.5603348263716446,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,4,theta_hat_ID_4,2,3002,0.10627842371104222,0.2704659951160968,0.20548352471748718,0.5123211991514306,False,1.0,0.9943781017406244,0.005621898259375646,0.5621898259375646,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__structured_residual,baseline,structured_residual,5,theta_hat_ID_5,2,3002,0.10511168020759311,0.2705671956567126,0.20524993627477833,0.5117388054474048,False,1.0,0.9943630201808152,0.005636979819184762,0.5636979819184762,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,1,theta_hat_ID_1,2,3002,0.611618252323202,0.9355334261196009,0.790347922740981,1.8966980968542422,False,1.0,1.0567301058343483,0.05673010583434834,5.673010583434834,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,2,theta_hat_ID_2,2,3002,0.6117048373747486,0.9354623975149412,0.7903393907784393,1.896677621622196,False,1.0,1.0567519082906702,0.05675190829067023,5.675190829067023,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,3,theta_hat_ID_3,2,3002,0.6045357841200779,0.9318744747743389,0.785446863580735,1.8849364039158085,False,1.0,1.0564318441255873,0.05643184412558733,5.643184412558733,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,4,theta_hat_ID_4,2,3002,0.6095031495736709,0.9376331184803648,0.7907749218998534,1.8977228208633636,False,1.0,1.0569543910780277,0.05695439107802769,5.695439107802769,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
baseline__combined_mild,baseline,combined_mild,5,theta_hat_ID_5,2,3002,0.6019596697198641,0.9364634330707072,0.7871846052381305,1.88910668285192,False,1.0,1.0568610330847263,0.05686103308472634,5.686103308472634,validation_self_normalized_precursor_not_global_reliability_rule,MODEL_ADEQUACY_GATE,False,False,False,MODEL_ADEQUACY_THRESHOLD_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,True,False
