subject_id,scenario_name,case_id,trial_id,temporary_parameter_name,parameter,estimate,previous_estimate,previous_state,delta_theta,absolute_delta_theta,parameter_scale,normalized_parameter_change,parameter_interpretation,is_tissue_material_change,maximum_normalized_parameter_change_in_trial,evidence_role,diagnostic_five_trial_rollout,operational_stop_rule_applied
knee_stiff,matched_linear,knee_stiff__matched_linear,4,theta_hat_ID_4,mass_scale,0.9999999999999999,0.9999999999999999,theta_hat_ID_3,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,4,theta_hat_ID_4,k_hip_nm_per_rad,15.0,15.0,theta_hat_ID_3,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,4,theta_hat_ID_4,k_knee_nm_per_rad,30.0,30.0,theta_hat_ID_3,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,4,theta_hat_ID_4,b_hip_nm_s_per_rad,2.000000000000028,2.000000000000028,theta_hat_ID_3,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,4,theta_hat_ID_4,b_knee_nm_s_per_rad,1.5,1.5,theta_hat_ID_3,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,5,theta_hat_ID_5,mass_scale,0.9999999999999999,0.9999999999999999,theta_hat_ID_4,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,5,theta_hat_ID_5,k_hip_nm_per_rad,15.0,15.0,theta_hat_ID_4,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,5,theta_hat_ID_5,k_knee_nm_per_rad,30.0,30.0,theta_hat_ID_4,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,5,theta_hat_ID_5,b_hip_nm_s_per_rad,2.000000000000028,2.000000000000028,theta_hat_ID_4,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
knee_stiff,matched_linear,knee_stiff__matched_linear,5,theta_hat_ID_5,b_knee_nm_s_per_rad,1.5,1.5,theta_hat_ID_4,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,1,theta_hat_ID_1,mass_scale,1.3000000000000123,1.0,initial_guess,0.30000000000001226,0.30000000000001226,1.0,0.30000000000001226,local_equivalent_dynamics_parameter,False,0.33333333333864373,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,1,theta_hat_ID_1,k_hip_nm_per_rad,15.000000000000258,10.0,initial_guess,5.000000000000258,5.000000000000258,20.0,0.2500000000000129,local_equivalent_dynamics_parameter,False,0.33333333333864373,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,1,theta_hat_ID_1,k_knee_nm_per_rad,12.000000000000046,10.0,initial_guess,2.000000000000046,2.000000000000046,20.0,0.10000000000000231,local_equivalent_dynamics_parameter,False,0.33333333333864373,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,1,theta_hat_ID_1,b_hip_nm_s_per_rad,2.0000000000159313,1.0,initial_guess,1.0000000000159313,1.0000000000159313,3.0,0.33333333333864373,local_equivalent_dynamics_parameter,False,0.33333333333864373,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,1,theta_hat_ID_1,b_knee_nm_s_per_rad,1.4999999999999958,1.0,initial_guess,0.4999999999999958,0.4999999999999958,3.0,0.16666666666666527,local_equivalent_dynamics_parameter,False,0.33333333333864373,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,2,theta_hat_ID_2,mass_scale,1.3000000000000123,1.3000000000000123,theta_hat_ID_1,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,2,theta_hat_ID_2,k_hip_nm_per_rad,15.000000000000258,15.000000000000258,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,2,theta_hat_ID_2,k_knee_nm_per_rad,12.000000000000046,12.000000000000046,theta_hat_ID_1,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,2,theta_hat_ID_2,b_hip_nm_s_per_rad,2.0000000000159313,2.0000000000159313,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,2,theta_hat_ID_2,b_knee_nm_s_per_rad,1.4999999999999958,1.4999999999999958,theta_hat_ID_1,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,3,theta_hat_ID_3,mass_scale,1.3000000000000123,1.3000000000000123,theta_hat_ID_2,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,3,theta_hat_ID_3,k_hip_nm_per_rad,15.000000000000258,15.000000000000258,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,3,theta_hat_ID_3,k_knee_nm_per_rad,12.000000000000046,12.000000000000046,theta_hat_ID_2,0.0,0.0,20.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,3,theta_hat_ID_3,b_hip_nm_s_per_rad,2.0000000000159313,2.0000000000159313,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,3,theta_hat_ID_3,b_knee_nm_s_per_rad,1.4999999999999958,1.4999999999999958,theta_hat_ID_2,0.0,0.0,3.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
heavy_leg,matched_linear,heavy_leg__matched_linear,4,theta_hat_ID_4,mass_scale,1.3000000000000123,1.3000000000000123,theta_hat_ID_3,0.0,0.0,1.0,0.0,local_equivalent_dynamics_parameter,False,0.0,MATCHED_POSITIVE_CONTROL,True,False
