record_type,joint,subject_id,candidate_id,pointwise_difference_rms_to_reference,rms_summary_difference_to_reference,pointwise_difference_sign_changes,absolute_tau_peak_time_s,time_resolved_interaction_rms,rms_summary_interaction_rms,time_resolved_to_rms_heterogeneity_ratio,time_common_effect_rms,sign_changing_difference_fraction,median_peak_timing_subject_spread_s
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15024,0.018386929806911357,0.0012133901466067076,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15024,0.017560068959621478,0.0011651671946577569,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15024,0.018787706273441493,0.0011938249619611874,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15037,0.00783348208155857,-0.0023658901594612036,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15037,0.007704330727170244,-0.0023785643384253152,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_009,MYOLEG_V2_P15037,0.007991033810502833,-0.002331171884861538,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_015,MYOLEG_V2_P15037,0.008548925433511356,-0.0022215030375140055,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_023,MYOLEG_V2_P15037,0.008119314891556971,-0.00230626877843898,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_001,MYOLEG_V2_P15037,0.008810909793120098,-0.0021332977566561606,True,0.34,,,,,,
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P15062,0.01581655296057021,-0.004714642196696928,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P15062,0.01555655802436293,-0.004742846672266987,True,23.323999999999998,,,,,,
