subject_i,subject_j,all_candidate_kendall_tau_b,all_candidate_rank_inversion_rate,all_candidate_crossover_exists,deterministic_subset_count,subset_kendall_tau_b,subset_rank_inversion_rate,subset_crossover_exists
MYOLEG_VP_003,MYOLEG_VP_007,0.9802161675549416,0.009891916222529218,True,512,0.9803082191780823,0.009845890410958846,True
MYOLEG_VP_003,MYOLEG_VP_009,0.9821107941890876,0.008944602905456178,True,512,0.9825556506849316,0.00872217465753422,True
MYOLEG_VP_003,MYOLEG_VP_010,0.9950133605381548,0.002493319730922594,True,512,0.9952605185909982,0.002369740704500911,True
MYOLEG_VP_003,MYOLEG_VP_011,0.9852083170361563,0.00739584148192185,True,512,0.9852770303326811,0.0073614848336594485,True
MYOLEG_VP_003,MYOLEG_VP_013,0.9863902089976962,0.006804895501151875,True,512,0.9864236790606655,0.006788160469667237,True
MYOLEG_VP_003,MYOLEG_VP_014,0.9884885624837816,0.005755718758109207,True,512,0.9888851516634052,0.005557424168297409,True
MYOLEG_VP_003,MYOLEG_VP_015,0.9951796393994439,0.002410180300278064,True,512,0.9952299412915854,0.002385029354207313,True
MYOLEG_VP_003,MYOLEG_VP_017,0.986415140756358,0.006792429621820972,True,512,0.9870046477495109,0.006497676125244545,True
MYOLEG_VP_003,MYOLEG_VP_018,0.9900521707480194,0.004973914625990283,True,512,0.9902917074363993,0.0048541462818003644,True
MYOLEG_VP_003,MYOLEG_VP_019,0.9960683781894587,0.0019658109052706485,True,512,0.9964530332681019,0.001773483365949069,True
MYOLEG_VP_003,MYOLEG_VP_021,0.991671166935424,0.004164416532287996,True,512,0.9920193248532291,0.003990337573385461,True
MYOLEG_VP_003,MYOLEG_VP_022,0.9989410692278906,0.000529465386054695,True,512,0.999128546966732,0.000435726516633983,True
MYOLEG_VP_003,MYOLEG_VP_023,0.9848431307915672,0.007578434604216422,True,512,0.9853993395303328,0.0073003302348336185,True
