record_type,metric,dimension,inward_step_count,subject_id,boundary_candidate_id,inward_candidate_id,inward_delta_from_boundary,slope_toward_boundary_per_unit,improves_toward_boundary,improvement_support_fraction
SUBJECT,J,knee,1,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012367662541493685,-0.004947065016597474,True,
SUBJECT,J,knee,1,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012007855450771876,-0.00480314218030875,True,
SUBJECT,J,knee,1,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012546772950789986,-0.0050187091803159944,True,
SUBJECT,J,knee,1,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012226841035059,-0.0048907364140236,True,
SUBJECT,J,knee,1,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012545469376246121,-0.0050181877504984485,True,
SUBJECT,J,knee,1,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012402027349169842,-0.004960810939667937,True,
SUBJECT,J,knee,1,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001138190247821358,-0.004552760991285432,True,
SUBJECT,J,knee,1,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0011912525547663755,-0.004765010219065502,True,
SUBJECT,J,knee,1,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0011882340809782344,-0.004752936323912937,True,
SUBJECT,J,knee,1,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001249718277906653,-0.004998873111626612,True,
SUBJECT,J,knee,1,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001267122911315588,-0.005068491645262352,True,
SUBJECT,J,knee,1,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012252356398492203,-0.004900942559396881,True,
SUBJECT,J,knee,1,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0011881970060081404,-0.0047527880240325615,True,
SUBJECT,J,knee,1,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0011460969734705673,-0.004584387893882269,True,
SUBJECT,J,knee,1,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0011021722651871624,-0.0044086890607486495,True,
SUBJECT,J,knee,1,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012615367346704431,-0.0050461469386817726,True,
SUBJECT,J,knee,1,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012202714734945719,-0.0048810858939782875,True,
SUBJECT,J,knee,1,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001140932412452722,-0.004563729649810888,True,
SUBJECT,J,knee,1,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.0012192660087160245,-0.004877064034864098,True,
SUMMARY,J,knee,1,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P20825,0.001221477788500236,-0.004885911154000944,,1.0
SUBJECT,J,knee,2,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002208949698668694,-0.004417899397337388,True,
SUBJECT,J,knee,2,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0025359066300837396,-0.005071813260167479,True,
SUBJECT,J,knee,2,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024290797035837475,-0.004858159407167495,True,
SUBJECT,J,knee,2,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024690876303073983,-0.004938175260614797,True,
SUBJECT,J,knee,2,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024564080310294223,-0.004912816062058845,True,
SUBJECT,J,knee,2,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002479703633694208,-0.004959407267388416,True,
SUBJECT,J,knee,2,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024125860642061348,-0.0048251721284122695,True,
SUBJECT,J,knee,2,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002513217775175214,-0.005026435550350428,True,
SUBJECT,J,knee,2,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024531563124016165,-0.004906312624803233,True,
SUBJECT,J,knee,2,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0025134741327078602,-0.0050269482654157205,True,
SUBJECT,J,knee,2,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002487066131262594,-0.004974132262525188,True,
SUBJECT,J,knee,2,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0022934812206764077,-0.004586962441352815,True,
SUBJECT,J,knee,2,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002394596160838036,-0.004789192321676072,True,
SUBJECT,J,knee,2,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0023891640425741656,-0.004778328085148331,True,
SUBJECT,J,knee,2,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0025050522524973085,-0.005010104504994617,True,
SUBJECT,J,knee,2,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002535403534028813,-0.005070807068057626,True,
SUBJECT,J,knee,2,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024598239976360015,-0.004919647995272003,True,
SUBJECT,J,knee,2,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.00238870947263492,-0.00477741894526984,True,
SUBJECT,J,knee,2,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0023088788227205725,-0.004617757645441145,True,
SUBJECT,J,knee,2,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002224847363067717,-0.004449694726135434,True,
SUBJECT,J,knee,2,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0025253027333362876,-0.005050605466672575,True,
SUBJECT,J,knee,2,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0024494137057606835,-0.004898827411521367,True,
SUBJECT,J,knee,2,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.0022990286851267694,-0.004598057370253539,True,
SUBJECT,J,knee,2,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.002447715546541107,-0.004895431093082214,True,
SUMMARY,J,knee,2,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P20800,0.00245128500908115,-0.0049025700181623,,1.0
SUBJECT,J,knee,3,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0033423887697392463,-0.004456518359652328,True,
SUBJECT,J,knee,3,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0038058803153334653,-0.005074507087111287,True,
SUBJECT,J,knee,3,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003657901901693017,-0.00487720253559069,True,
SUBJECT,J,knee,3,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003712500872029234,-0.004950001162705646,True,
SUBJECT,J,knee,3,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003696295497359836,-0.004928393996479781,True,
SUBJECT,J,knee,3,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003727576831775936,-0.0049701024423679145,True,
SUBJECT,J,knee,3,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0036339361558301864,-0.004845248207773582,True,
SUBJECT,J,knee,3,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003774521929022834,-0.005032695905363778,True,
SUBJECT,J,knee,3,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003690085837489532,-0.004920114449986042,True,
SUBJECT,J,knee,3,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0037756529291966823,-0.005034203905595576,True,
SUBJECT,J,knee,3,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.00373934160328937,-0.004985788804385827,True,
SUBJECT,J,knee,3,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.00346408589137015,-0.004618781188493533,True,
SUBJECT,J,knee,3,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0036084965463041296,-0.004811328728405506,True,
SUBJECT,J,knee,3,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003601221584149661,-0.004801628778866214,True,
SUBJECT,J,knee,3,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003764815823822043,-0.005019754431762724,True,
SUBJECT,J,knee,3,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003803887195781508,-0.005071849594375344,True,
SUBJECT,J,knee,3,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.00370239434851094,-0.0049365257980145865,True,
SUBJECT,J,knee,3,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003599994884633806,-0.004799993179511741,True,
SUBJECT,J,knee,3,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0034866064337496505,-0.004648808578332868,True,
SUBJECT,J,knee,3,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0033660996747898464,-0.004488132899719795,True,
