t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
7.5409,rehab,safe_midrange_fast,0.0,84.62584390400256,30.233185359670586,86.02350004537003,-28.33117251125312,-89.09879611082783,0.0,-4.3776,-2.8793,0.0,3.0722,5.2445,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315867e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7691880063550625,24.35,0.0393,-0.0892,-0.0506,0.02445,-0.01662,0.00253,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.5607,rehab,safe_midrange_fast,0.0,84.55576440534628,30.18772366450643,85.99727864494243,-28.257520882675234,-89.09657354440222,0.0,-4.163,-2.6741,0.0,2.9184,4.6298,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315875e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7651224462060329,24.35,-0.0688,-0.0783,-0.1198,0.01465,-0.01157,0.00363,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.5807,rehab,safe_midrange_fast,0.0,84.45064337682136,30.12072032364511,85.95847763836505,-28.148757679277935,-89.09323608972376,0.0,-4.1237,-2.6111,0.0,1.8819,3.3311,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158867e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7606404316334303,24.35,-0.2111,-0.22,-0.7295,0.01329,-0.00614,0.01321,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.6009,rehab,safe_midrange_fast,0.0,84.38056127510187,30.07668297890982,85.93275402232474,-28.077020195236575,-89.09101035302679,0.0,-4.2655,-2.6691,0.0,-0.5025,1.2186,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833158946e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7587015523471852,24.35,-0.2392,-0.2231,0.1,0.00391,-0.0045,0.00034,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.6206,rehab,safe_midrange_fast,0.0,84.31047785584009,30.033023305177615,85.90697500314013,-28.005601885714125,-89.08878530119708,0.0,-4.3788,-2.7183,0.0,-3.6325,-1.3289,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833159026e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7575860112901146,24.35,-0.2431,-0.2338,0.4832,0.0048,-0.01487,0.00168,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.6404,rehab,safe_midrange_fast,0.0,84.20534990720708,29.968005668729923,85.86787883478314,-27.898512986454318,-89.08545141987912,0.0,-4.3959,-2.7139,0.0,-5.2527,-2.7813,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833159144e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7574413378224119,24.35,-0.0892,-0.176,0.312,0.02529,-0.02158,-0.00066,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.6606,rehab,safe_midrange_fast,0.0,84.13526249364979,29.924819403023736,85.84131124061841,-27.826772038480826,-89.08323289147032,0.0,-4.4121,-2.717,0.0,-3.9798,-2.17,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833159223e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7583630156513256,24.35,-0.1073,-0.1245,0.3705,0.02786,-0.02317,0.00229,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.6809,rehab,safe_midrange_fast,0.0,84.01260519282967,29.84927464419726,85.79345180746948,-27.69988350214964,-89.07936110955065,0.0,-4.518,-2.7778,0.0,-0.9002,-0.3711,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315936e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7609091325064297,24.35,-0.3722,-0.2273,0.3014,0.01448,-0.01608,0.0001,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.7008,rehab,safe_midrange_fast,0.0,83.94251320010791,29.806129226448256,85.7653226169818,-27.62661388948983,-89.07715471364247,0.0,-4.6337,-2.8479,0.0,1.7022,1.151,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315944e-312,0.0,3.512700564088504e-303,0.0,5.0,0.7621515444428266,24.35,-0.4163,-0.2518,0.149,0.01886,-0.01103,0.00752,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
7.7207,rehab,safe_midrange_fast,0.0,83.83737306782082,29.74149673663512,85.7221301028424,-27.51579099273825,-89.07385285220943,0.0,-4.6154,-2.8343,0.0,3.0042,1.9067,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283315956e-312,0.0,3.512700564088504e-303,0.0,5.0,0.763832331372422,24.35,-0.438,-0.4358,0.0897,-0.00648,-0.00891,0.00661,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
