baseline_oracle_index,baseline_relative_regret_of_perturbed_oracle,endpoint_id,exact_oracle_stable,leg_id,maximum_absolute_relative_endpoint_change,median_absolute_relative_endpoint_change,p95_absolute_relative_endpoint_change,perturbed_oracle_index,ranking_spearman_vs_baseline,scenario
24,0.0,E1,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,8.452316559865611e-06,9.990954672476208e-07,7.223905804822601e-06,24,0.999996559351192,DETERMINISTIC_TORQUE_WAVE_B
21,0.0,E2,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.7780279663241372e-05,6.443400009530139e-07,1.6282030664007738e-05,21,1.0,DETERMINISTIC_TORQUE_WAVE_B
600,3.885780586188048e-14,E3,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,6.186614979226053e-05,1.9662429912026273e-06,6.146592422880842e-05,312,0.5857126957770533,DETERMINISTIC_TORQUE_WAVE_B
300,0.0,E4,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,6.186614979226053e-05,1.9662429910916046e-06,6.146592422880842e-05,312,0.5899723648261415,DETERMINISTIC_TORQUE_WAVE_B
24,0.0,E0,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,2.980080429666268e-06,2.734798749182949e-06,2.9325930104320443e-06,24,0.9999992627181127,HALF_RATE_EVEN_SAMPLES
24,0.0,E1,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.4543169398221447e-06,3.568006395921823e-07,1.3360475304963309e-06,24,0.9999993610223643,HALF_RATE_EVEN_SAMPLES
21,0.0,E2,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.0001308537149934447,2.0389119002913307e-06,0.00011985695370853355,21,0.9996735702368366,HALF_RATE_EVEN_SAMPLES
600,0.0,E3,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.0,0.0,0.0,600,1.0,HALF_RATE_EVEN_SAMPLES
300,0.0,E4,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,6.661338147750939e-16,0.0,6.661338147750939e-16,312,0.9946622093217652,HALF_RATE_EVEN_SAMPLES
24,0.0,E0,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,2.9797862871117873e-06,2.7345037228156986e-06,2.932298221567448e-06,24,0.9999981813713443,HALF_RATE_ODD_OFFSET_SAMPLES
24,0.0,E1,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,1.454317534995572e-06,3.567951211957618e-07,1.3360337423634466e-06,24,0.9999996559351194,HALF_RATE_ODD_OFFSET_SAMPLES
21,0.0,E2,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,6.973863951711442e-05,5.053353086495529e-07,6.529418464299267e-05,21,0.9999870746582131,HALF_RATE_ODD_OFFSET_SAMPLES
600,0.0,E3,True,LEG_4_STRONG_STRUCTURAL_MISMATCH,3.301353469369519e-07,2.3842572806881984e-08,2.960099884379298e-07,600,0.982223468736243,HALF_RATE_ODD_OFFSET_SAMPLES
300,0.0,E4,False,LEG_4_STRONG_STRUCTURAL_MISMATCH,3.301353469369519e-07,2.3842572806881984e-08,2.960099884379298e-07,312,0.9810765097413746,HALF_RATE_ODD_OFFSET_SAMPLES
