case_id,subject_id,scenario_name,policy_id,iteration,executed_trial_count_this_iteration,trial_purpose,trajectory_id,alpha_hip,alpha_knee,alpha_phase,best_alpha_hip_before,best_alpha_knee_before,best_alpha_phase_before,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,J_pred,actual_J,best_actual_J_before,best_actual_J_after,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,decision_uncertainty_bound,improvement_margin,model_supported,domain_coverage,distance_to_supported_region,distance_role,accepted_improvement,executed_false_improvement,execution_status,valid_data_added_to_model_update,model_updates_this_iteration,model_reliability_status_after_iteration,truth_accessed_before_selection,cumulative_regret_vs_best_before,stop_reason_after_iteration
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.994024169489,0.993864726096,1,0.993864726096,-0.00597583051053,-0.00613527390359,IMPROVE,IMPROVE,0.115846899894,-0.114871069383,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,2,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988128661664,0.98781879049,0.993864726096,0.98781879049,-0.00589538625237,-0.00604593560597,IMPROVE,IMPROVE,0.115854782822,-0.11495939657,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,3,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982312478877,0.981856987217,0.98781879049,0.981856987217,-0.00581577112449,-0.00596180327359,IMPROVE,IMPROVE,0.115843562321,-0.115027791196,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,4,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976575209922,0.975979016574,0.981856987217,0.975979016574,-0.00573652110029,-0.00587797064288,IMPROVE,IMPROVE,0.115820477692,-0.115083956592,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,5,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.970916474364,0.970184548874,0.975979016574,0.970184548874,-0.00565764284131,-0.00579446769953,IMPROVE,IMPROVE,0.115789308805,-0.115131665964,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P0_SUPPORTED_ONLY_GREEDY,6,1,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,1,-5,0,0,-5,0,0,-5,0,0.969211227427,0.96830630843,0.970184548874,0.970184548874,-0.00170381399201,-0.00187824044412,NEUTRAL,NEUTRAL,0.115752259043,-0.119048445051,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,1,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.99409193014,0.994088206232,1,0.994088206232,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,0.000233410250437,0.00067465960986,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,2,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988261812707,0.988258909883,0.994088206232,0.988258909883,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,0.000256795562238,0.000573351485942,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,3,1,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,0,-3,0,0,-2,0,0,-3,0,0.982508938697,0.982506817284,0.988258909883,0.982506817284,-0.0057529101987,-0.00575209259893,IMPROVE,IMPROVE,0.000274715576522,0.000478194622181,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,4,1,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,0,-4,0,0,-3,0,0,-4,0,0.976832973427,0.976831607263,0.982506817284,0.976831607263,-0.00567600132816,-0.00567521002104,IMPROVE,IMPROVE,0.000289123368521,0.000386877959637,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,5,1,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-4,0,0,-5,0,0.971233563259,0.971232932129,0.976831607263,0.971232932129,-0.00559944415833,-0.00559867513412,IMPROVE,IMPROVE,0.000301095222776,0.000298348935549,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P0_SUPPORTED_ONLY_GREEDY,6,1,EXPLOIT,asym_h+1.000_k-5.000_p+0.00000,1,-5,0,0,-5,0,0,-5,0,0.969449111925,0.969452906636,0.971232932129,0.971232932129,-0.0017844828931,-0.00178002549302,NEUTRAL,NEUTRAL,0.000311288010574,-0.00352680511748,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,False,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,STOP_MAX_PERSONALIZATION_TRIALS
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,1,1,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,0,0,0,0,-1,0,0.99409193014,0.994088206232,1,0.994088206232,-0.0059080698603,-0.00591179376796,IMPROVE,IMPROVE,0.000233410250437,0.00067465960986,True,100,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P1_DECISION_GUARDED_EXPLOIT_ONLY,2,1,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-1,0,0,-2,0,0.988261812707,0.988258909883,0.994088206232,0.988258909883,-0.00583014704818,-0.00582929634889,IMPROVE,IMPROVE,0.000256795562238,0.000573351485942,True,99.7506234414,0,LOCALITY_CONTROL_NOT_RELIABILITY_SCORE,True,False,EXECUTED,True,1,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,False,0,
