record_type,metric,dimension,subject_id,minus_delta_from_reference,plus_delta_from_reference,central_derivative_per_unit,central_derivative_sign,preferred_local_direction,sign_agreement_fraction,minus_improvement_fraction,plus_improvement_fraction
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_015,6.668494945349934e-05,-8.375175357455689e-05,-0.00030087340605611246,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_017,7.088669327082187e-05,-8.763157907420993e-05,-0.0003170365446900636,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_018,7.322218035255013e-05,-9.008143525679468e-05,-0.0003266072312186896,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_019,7.294217745568154e-05,-8.982523718970015e-05,-0.0003255348292907634,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_021,7.188830426518855e-05,-8.874499091426902e-05,-0.00032126659035891514,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_022,7.319720743081959e-05,-9.012400394869946e-05,-0.0003266424227590381,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_023,7.680964965994797e-05,-9.339944613917517e-05,-0.00034041819159824627,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_025,7.237286625616512e-05,-8.906908956018977e-05,-0.0003228839116327098,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_026,7.542429867002376e-05,-9.211089978256037e-05,-0.00033507039690516827,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_027,7.167919752748553e-05,-8.853797728358703e-05,-0.0003204343496221451,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_029,6.83021830198971e-05,-8.535487817007414e-05,-0.0003073141223799425,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_030,7.780404059620771e-05,-9.434947252617842e-05,-0.0003443070262447723,-1,PLUS,,,
SUBJECT,HIP_NORMALIZED_RMS,knee,MYOLEG_VP_031,7.532901904094835e-05,-9.200914214058109e-05,-0.0003346763223630589,-1,PLUS,,,
SUMMARY,HIP_NORMALIZED_RMS,knee,ALL_DEVELOPMENT,,,,,,1.0,0.0,1.0
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_001,-3.159279136388804e-05,1.593595734084019e-05,0.009505749740945646,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_002,-3.6289861505611754e-05,2.0284918406665575e-05,0.011314955982455466,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_003,-3.358354290317056e-05,1.7580242377857047e-05,0.010232757056205521,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_005,-3.543090432167606e-05,1.9509826822305953e-05,0.010988146228796403,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_006,-3.4228341812880814e-05,1.814715001224876e-05,0.010475098365025914,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_007,-3.452810063919731e-05,1.8840924889129695e-05,0.010673805105665402,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_009,-3.2660830815767206e-05,1.715003711866281e-05,0.009962173586886003,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_010,-3.5700502020286073e-05,1.9701398154881034e-05,0.011080380035033421,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_011,-3.5013902925928875e-05,1.9139370613596718e-05,0.010830654707905119,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_013,-3.5478907045138897e-05,1.9721261112604083e-05,0.011040033631548596,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_014,-3.511179973492151e-05,1.9362497337693796e-05,0.010894859414523062,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_015,-3.4146651567534825e-05,1.791969222875167e-05,0.0104132687592573,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_017,-3.3695071193884374e-05,1.7846113449460077e-05,0.01030823692866889,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_018,-3.4832288549391244e-05,1.887678873102594e-05,0.010741815456083437,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_019,-3.5136370229338354e-05,1.914164323690848e-05,0.010855602693249367,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_021,-3.62191086360486e-05,2.0188873668169904e-05,0.011281596460843701,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_022,-3.421041297690941e-05,1.8219425856225158e-05,0.010485967766626914,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_023,-3.411431592947878e-05,1.8543463840448027e-05,0.010531555953985361,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_025,-3.192365173887435e-05,1.6244667576437166e-05,0.009633663863062303,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_026,-3.2040292000212744e-05,1.6428938832246942e-05,0.009693846166491937,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_027,-3.639601062321862e-05,2.0361831412296638e-05,0.011351568407103052,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_029,-3.5498516593013285e-05,1.926637779114948e-05,0.010952978876832553,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_030,-3.268424058167074e-05,1.720654291004209e-05,0.009978156698342566,1,MINUS,,,
SUBJECT,HIP_NORMALIZED_RMS,phase,MYOLEG_VP_031,-3.4791934748534814e-05,1.9048423609335785e-05,0.01076807167157412,1,MINUS,,,
SUMMARY,HIP_NORMALIZED_RMS,phase,ALL_DEVELOPMENT,,,,,,1.0,1.0,0.0
