case_id,subject_id,scenario_name,executed_trial_index,trial_purpose,best_actual_J_so_far,best_executed_J_pred_so_far,map_best_supported_J_pred_after,best_alpha_hip_after,best_alpha_knee_after,best_alpha_phase_after,actual_best_J_improvement,trial_value_classification
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,12,EXPLORE,0.975317392642,0.975320990929,0.974173691782,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,1,EXPLOIT,0.993005294444,0.993580473362,0.974241172934,0,-1.25,0,0.00699470555619,MULTIPLE_VALUES
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,2,EXPLOIT,0.986118257202,0.987238553572,0.97423946686,0,-2.5,0,0.0068870372416,MULTIPLE_VALUES
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,3,EXPLOIT,0.97933547887,0.980972941862,0.974237506917,0,-3.75,0,0.00678277833181,MULTIPLE_VALUES
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,4,EXPLOIT,0.972657012595,0.974783111231,0.974235356488,0,-5,0,0.00667846627504,MULTIPLE_VALUES
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,1,EXPLORE,1,0.999878704536,0.973421975829,0,0,0,0,MULTIPLE_VALUES
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,2,EXPLOIT,0.993288626216,0.993291837822,0.973421975829,0,-1.25,0,0.0067113737841,DIRECT_DECISION_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,3,EXPLOIT,0.986671233355,0.986674470195,0.973421975829,0,-2.5,0,0.00661739286102,DIRECT_DECISION_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,4,EXPLOIT,0.980143911665,0.980147174238,0.973421975829,0,-3.75,0,0.00652732169023,DIRECT_DECISION_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,5,EXPLOIT,0.973706313745,0.973709602551,0.973421975829,0,-5,0,0.00643759791918,DIRECT_DECISION_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,6,EXPLORE,0.973706313745,0.973709602551,0.973337223252,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,7,EXPLORE,0.973706313745,0.973709602551,0.973254537958,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,8,EXPLORE,0.973706313745,0.973709602551,0.973173931607,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,9,EXPLORE,0.973706313745,0.973709602551,0.973095415842,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,10,EXPLORE,0.973706313745,0.973709602551,0.973019002287,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,11,EXPLORE,0.973706313745,0.973709602551,0.972944702547,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,12,EXPLORE,0.973706313745,0.973709602551,0.972872528207,0,-5,0,0,POST_OPTIMUM_LOW_VALUE
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,1,EXPLOIT,0.988640022288,0.994282400848,0.971720921752,0,-1.25,0,0.0113599777121,MULTIPLE_VALUES
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,2,EXPLOIT,0.977645223541,0.988616352906,0.971697155225,0,-2.5,0,0.0109947987471,MULTIPLE_VALUES
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,3,EXPLOIT,0.967008627498,0.982996447901,0.971670044155,0,-3.75,0,0.0106365960431,MULTIPLE_VALUES
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,4,EXPLOIT,0.956725642694,0.977420904839,0.97164093527,0,-5,0,0.0102829848034,MULTIPLE_VALUES
