case_id,axis,direction,alpha_hip,alpha_knee,alpha_phase,axis_alpha,distance_in_existing_grid_steps,J_truth,delta_J_truth_vs_reference,model_supported_at_initial_state,domain_coverage_at_initial_state,reference_near_local_delta_J,best_axis_direction_alpha,best_axis_direction_J,best_axis_direction_improvement,best_axis_direction_at_generator_boundary,truth_monotonic_improvement_from_reference_to_boundary,truth_used_for_policy_selection
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-0.75,0,0,-0.75,3,1.00155901058,0.00155901057829,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-1,0,0,-1,4,1.00208638363,0.00208638363136,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-1.25,0,0,-1.25,5,1.00261683854,0.00261683854387,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-1.5,0,0,-1.5,6,1.00315036123,0.00315036122848,True,100,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-1.75,0,0,-1.75,7,1.00368693753,0.00368693752742,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-2,0,0,-2,8,1.00422655321,0.00422655321298,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-2.25,0,0,-2.25,9,1.00476919399,0.00476919398779,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-2.5,0,0,-2.5,10,1.00531484549,0.00531484548527,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-2.75,0,0,-2.75,11,1.00586349327,0.00586349326997,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-3,0,0,-3,12,1.00641512284,0.00641512283798,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-3.25,0,0,-3.25,13,1.00696971962,0.00696971961737,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-3.5,0,0,-3.5,14,1.00752726897,0.00752726896855,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-3.75,0,0,-3.75,15,1.00808775618,0.00808775618468,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-4,0,0,-4,16,1.00865116649,0.00865116649216,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-4.25,0,0,-4.25,17,1.00921748505,0.00921748505098,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-4.5,0,0,-4.5,18,1.00978669696,0.00978669695521,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-4.75,0,0,-4.75,19,1.01035878723,0.0103587872334,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,NEGATIVE,-5,0,0,-5,20,1.01093374085,0.0109337408491,True,99.7506234414,0.000513566046055,-0.25,1.00051356605,-0.000513566046055,False,False,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,0.25,0,0,0.25,1,0.999480616225,-0.000519383774684,True,100,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,0.5,0,0,0.5,2,0.998968861293,-0.00103113870749,True,100,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,0.75,0,0,0.75,3,0.998460271246,-0.00153972875398,True,100,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
