family,subject_a,subject_b,spearman_rank,oracle_a,oracle_b,oracle_same,oracle_distance,transfer_a_to_b_regret_pct,transfer_b_to_a_regret_pct
BETA_TIMING,MYOLEG_VP_015,MYOLEG_VP_031,0.99981018408263,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_018,0.9999763612147513,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_019,0.9998673405484552,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_021,0.9994679509230595,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_022,0.9999760083970612,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_023,0.9999562506064056,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_025,0.9997082197701395,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_026,0.9995550968925582,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_027,0.9994757129122456,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_029,0.9999086202182179,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_030,0.9997918375627355,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_017,MYOLEG_VP_031,0.999926613920422,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_019,0.9998945075106067,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_021,0.999530752471929,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_022,0.9999636597779014,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_023,0.9999636597779014,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_025,0.9996528273927656,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_026,0.9994940594321402,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_027,0.9995480405387527,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_029,0.9999361399980597,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_030,0.9997494994399021,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_018,MYOLEG_VP_031,0.9999562506064056,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_021,0.9997971298280899,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_022,0.9998638123715523,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_023,0.9998285306025245,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_025,0.9993469344552939,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_026,0.9991271290342498,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_027,0.9998031277288245,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_029,0.9999728330378488,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_030,0.9994746544591747,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_019,MYOLEG_VP_031,0.9999594259656183,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_022,0.999438314237076,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_023,0.9993758655058965,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_025,0.9985693242659188,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_026,0.9982408509962691,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_027,0.9999788309385834,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_029,0.9997420902684062,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_030,0.9987591401832888,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
