scope,subject_id,family,method,seed,budget,status,executed_count,domain_size,coverage_fraction,recommendation_id,recommendation_E3,recommendation_feasible,full_oracle_id,full_oracle_E3,recommendation_selection_score,pool_oracle_id,pool_oracle_E3,pool_has_full_oracle,pool_has_near_oracle,exploration_regret_relative_pct,recommendation_regret_relative_pct,distance_to_full_oracle,no_feasible_candidate_in_pool
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,SPACE_FILLING,0,1,complete,1,324,0.0030864197530864196,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,SPACE_FILLING,0,2,complete,2,324,0.006172839506172839,BETA_TIMING:163,1.0,True,BETA_TIMING:288,0.9753692703730039,1.0,BETA_TIMING:163,1.0,False,False,2.5252722609947225,2.5252722609947225,0.5,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,SPACE_FILLING,0,4,complete,4,324,0.012345679012345678,BETA_TIMING:288,0.9753692703730039,True,BETA_TIMING:288,0.9753692703730039,0.9753692703730039,BETA_TIMING:288,0.9753692703730039,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,BETA_TIMING,SPACE_FILLING,0,8,complete,8,324,0.024691358024691357,BETA_TIMING:288,0.9753692703730039,True,BETA_TIMING:288,0.9753692703730039,0.9753692703730039,BETA_TIMING:288,0.9753692703730039,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,MODEL_INFORMED_BO_EI,0,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PHYSICS_GREEDY,0,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:383,0.9694288954984164,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9694288954984164,KEY_POSTURE_TIMING:383,0.9694288954984164,True,True,0.0,0.0,0.0,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PURE_BO_EI,0,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PURE_BO_EI,0,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PURE_BO_EI,0,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:246,0.9902043348955869,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9902043348955869,KEY_POSTURE_TIMING:246,0.9902043348955869,False,False,2.1430596399222415,2.1430596399222415,0.3886407938787006,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,PURE_BO_EI,0,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:384,0.9700428195366793,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9700428195366793,KEY_POSTURE_TIMING:384,0.9700428195366793,False,True,0.06332842368467277,0.06332842368467277,0.14433756729740643,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,0,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,0,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:329,0.9861094069791946,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9861094069791946,KEY_POSTURE_TIMING:329,0.9861094069791946,False,False,1.720653423704911,1.720653423704911,0.6208193510729725,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,0,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:329,0.9861094069791946,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9861094069791946,KEY_POSTURE_TIMING:329,0.9861094069791946,False,False,1.720653423704911,1.720653423704911,0.6208193510729725,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,0,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:329,0.9861094069791946,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9861094069791946,KEY_POSTURE_TIMING:329,0.9861094069791946,False,False,1.720653423704911,1.720653423704911,0.6208193510729725,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,1,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,1,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,1,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:292,0.981680893747006,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.981680893747006,KEY_POSTURE_TIMING:292,0.981680893747006,False,False,1.2638367089615594,1.2638367089615594,0.1613743060919757,False
