path,size_bytes,tracked,ignored,producer,consumer_tests,consumer_scripts,sha256_if_present,regenerable,deterministic,required_for_normal_pytest,required_for_formal_reproduction
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/observed_trajectory.csv,4211701,false,true,lower_limb_sim.run_geometry_error_experiment,,,63d97de2902a3d52dc8ae291d0887aa76b397df57eccfaeb755ed80db2c4d3aa,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/outside_domain_test_data.csv,1142624,false,true,lower_limb_sim.run_geometry_error_experiment,,,a8deba64227099add757a75cf9e42da9d3723e76cef21613a4d2ec9156a50c06,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/reconstructed_state.csv,59550586,false,true,lower_limb_sim.run_geometry_error_experiment,,,9bb7058132c32d07e69e571607293fbd2c7568f80832386a6d678d754bc165d9,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/training_data.csv,4752569,false,true,lower_limb_sim.run_geometry_error_experiment,,,bede2c5ed0d0498e9946f0f2974a7b677af4758f90487a61ba1e3b100f40c778,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/true_trajectory.csv,6578797,false,true,lower_limb_sim.run_geometry_error_experiment,,,5b9b61df75652f126630c1c466dab52e50156625529fb5ea13810ed1bab0dec5,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_negative/validation_data.csv,2716446,false,true,lower_limb_sim.run_geometry_error_experiment,,,a419ce301e220cb0b5473ee40a7f8275d1890a4c35e8d2f08951bed9e7ce9f71,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/boundary_test_data.csv,1120615,false,true,lower_limb_sim.run_geometry_error_experiment,,,119cdb13e89ed356071c99fc493e89fd5be84b735cbdd85185ebaaf61cdee0f8,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/interpolation_test_data.csv,4518417,false,true,lower_limb_sim.run_geometry_error_experiment,,,98c458bf50d69dd5a4fe13c8bdc0be8acb580245c1e3f5454dfb6b9a5005f794,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/observed_trajectory.csv,4211701,false,true,lower_limb_sim.run_geometry_error_experiment,,,ebdba90284faf557960b9b9582b3fb1d8cdd34569f29771a0a93a2c892c5d242,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/outside_domain_test_data.csv,1150420,false,true,lower_limb_sim.run_geometry_error_experiment,,,1c9d208042fc010bf30c9412842d846a178a196b5c9eedcf7ede85bf30a4a66a,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/reconstructed_state.csv,59697148,false,true,lower_limb_sim.run_geometry_error_experiment,,,009f5772d49558f845c06b5ab95404c2869a3176d04e1aefdc4219c76434ea0b,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/training_data.csv,4753555,false,true,lower_limb_sim.run_geometry_error_experiment,,,e03f14e6d999ee6f9c9c602cdf70dcb9a4b8618f1c9e49f1eacdc3378cbef884,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/true_trajectory.csv,6578797,false,true,lower_limb_sim.run_geometry_error_experiment,,,438ea78ea3e0b72f516ef772e7019e50d7b00c9669492d690b94b56c1f629f98,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_1cm_positive/validation_data.csv,2714683,false,true,lower_limb_sim.run_geometry_error_experiment,,,b75e7b860606028fb61e91987adcb55d088eb4c33a8ca34d273be5ddb9e9f344,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
lower_limb_sim/data/geometry_error/baseline/L1_error_2cm/boundary_test_data.csv,1120698,false,true,lower_limb_sim.run_geometry_error_experiment,,,2de98d53c5113a49bb1ac6ffc05fa45efeace0c9b37a4ebd204d1d527ccaa8cf,UNKNOWN_OUTSIDE_P2_SCOPE,UNKNOWN_OUTSIDE_P2_SCOPE,NOT_AUDITED_OUTSIDE_P2_SCOPE,STAGE_SPECIFIC_OUTSIDE_P2_SCOPE
