subject_id,split,boundary_side,hip_deg,knee_deg,knee_velocity_deg_s,required_knee_drive_nm,subject_reference_knee_rms_nm,joint_limit_knee_contribution_nm,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,source_equality_residual_max,solver_warning_count,finite,artifact_gate_pass
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,1.0,-1.0,-5.814878151914569e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,1.0,0.0,-1.7638491571325756e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,1.0,1.0,1.2037067798688255e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,1.0,-1.0,1.9245916861698064e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,1.0,0.0,2.557638082751942e-15,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,1.0,1.0,-5.060588037542366e-14,11.075814287716018,0.0,0.0,0.0,1,0,1.6263032587282567e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,5.0,-1.0,9.678209193281524e-14,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,5.0,0.0,8.971803276735952e-14,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,30.0,5.0,1.0,1.0180317513399154e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,5.0,-1.0,1.565485220197218e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,5.0,0.0,1.666921566467816e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,60.0,5.0,1.0,1.700824919987447e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,5.0,-1.0,-2.497850310187211e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,5.0,0.0,-2.2711234326898765e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,90.0,5.0,1.0,-2.6097326106869765e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,5.0,-1.0,3.425868262828424e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,5.0,0.0,4.0763341003046213e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,LOWER,112.0,5.0,1.0,4.006987703948606e-13,11.075814287716018,0.0,0.0,0.0,0,0,3.469446951953614e-18,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.0,-1.0,2.8565314642684436e-13,11.075814287716018,0.0018754055024589275,0.0018754055024589275,0.00016932439040070446,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.0,0.0,2.759759268577347e-13,11.075814287716018,0.0018381683988555005,0.0018381683988555005,0.00016596237090163018,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.0,1.0,2.8143969213273047e-13,11.075814287716018,0.0018009336083708446,0.0018009336083708446,0.00016260056024668335,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.0,-1.0,9.636311944861783e-13,11.075814287716018,0.001749408785988998,0.001749408785988998,0.00015794854811977438,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.0,0.0,9.676310345107902e-13,11.075814287716018,0.0017121710633003833,0.0017121710633003833,0.00015458647272547003,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.0,1.0,9.58583331716273e-13,11.075814287716018,0.0016749356674541644,0.0016749356674541644,0.0001512246074143555,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.0,-1.0,-1.4494528793151995e-13,11.075814287716018,0.0015425008064684832,0.0015425008064684832,0.00013926748556801304,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.0,0.0,-1.4437123311158256e-13,11.075814287716018,0.0015052695657659335,0.0015052695657659335,0.00013590599541158798,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.0,1.0,-1.5383635533336766e-13,11.075814287716018,0.0014680406809129928,0.0014680406809129928,0.00013254471795732164,1,0,6.661338147750939e-16,0,True,True
