[07:10:05][RunControl][INFO] [Step  300] pos=(79.4,-666.8,263.2)mm  |u|=504.3mm/s²  F=0.3N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:05][RunControl][WARNING] 控制循环超时: 101.1ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 100.5ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 102.0ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 73.8ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 95.8ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 103.6ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 116.0ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 65.4ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 115.7ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 60.9ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 48.7ms > 20ms
[07:10:05][RunControl][WARNING] 控制循环超时: 48.8ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 48.5ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 49.1ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 105.4ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 111.8ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 86.0ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 112.3ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 113.5ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 110.5ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 102.3ms > 20ms
[07:10:06][RunControl][WARNING] 控制循环超时: 111.9ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 110.5ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 94.8ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 50.0ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 96.1ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 182.8ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 104.3ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 69.4ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 42.8ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 50.1ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 49.4ms > 20ms
[07:10:07][RunControl][WARNING] 控制循环超时: 147.1ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 68.8ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 74.7ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 63.0ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 53.8ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 83.7ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 47.5ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 68.5ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 78.6ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 59.8ms > 20ms
[07:10:08][RunControl][WARNING] 控制循环超时: 112.9ms > 20ms
[07:10:08][RunControl][INFO] [Step  350] pos=(79.0,-666.8,263.6)mm  |u|=707.1mm/s²  F=0.4N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:08][RunControl][WARNING] 控制循环超时: 61.8ms > 20ms
[07:10:09][RunControl][WARNING] 控制循环超时: 58.0ms > 20ms
[07:10:09][RunControl][WARNING] 控制循环超时: 59.8ms > 20ms
[07:10:09][RunControl][WARNING] 控制循环超时: 80.3ms > 20ms
[07:10:09][RunControl][WARNING] 控制循环超时: 125.5ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 61.5ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 86.3ms > 20ms
[07:10:10][RunControl][INFO] [Step  400] pos=(78.2,-666.8,264.4)mm  |u|=707.1mm/s²  F=0.3N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:10][RunControl][WARNING] 控制循环超时: 131.1ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 71.7ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 110.1ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 32.6ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 53.5ms > 20ms
[07:10:10][RunControl][WARNING] 控制循环超时: 156.0ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 81.4ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 132.4ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 91.1ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 88.0ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 130.5ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 41.1ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 78.9ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 110.2ms > 20ms
[07:10:11][RunControl][WARNING] 控制循环超时: 63.0ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 118.1ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 74.3ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 73.4ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 115.9ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 69.2ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 71.8ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 94.7ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 38.6ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 77.8ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 69.3ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 81.8ms > 20ms
[07:10:12][RunControl][WARNING] 控制循环超时: 78.2ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 83.8ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 68.7ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 87.2ms > 20ms
[07:10:13][RunControl][INFO] [Step  450] pos=(76.9,-666.8,265.8)mm  |u|=707.1mm/s²  F=1.9N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:13][RunControl][WARNING] 控制循环超时: 100.8ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 83.2ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 56.9ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 106.5ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 64.3ms > 20ms
[07:10:13][RunControl][WARNING] 控制循环超时: 37.2ms > 20ms
