model,beta_flex,beta_extend,E0,E2,E3
LEG_0_NOMINAL,-0.01,0.005,32.205514597409106,1.00013893394607,0.9986797999683781
LEG_0_NOMINAL,-0.01,0.0075,32.20431562845466,1.0002053281719585,0.998381321415774
LEG_0_NOMINAL,-0.01,0.01,32.20311658160364,1.0002704032668157,0.9980846948250328
LEG_0_NOMINAL,-0.01,0.0125,32.20191985214078,1.0003343825627784,0.9977899151278518
LEG_0_NOMINAL,-0.01,0.015,32.20072017840589,1.0003967808298175,0.9974970120815276
LEG_0_NOMINAL,-0.01,0.0175,32.19952130953375,1.0004579224561794,0.9972060161924152
LEG_0_NOMINAL,-0.01,0.02,32.1983302659099,1.0005183953159156,0.996917009718888
LEG_0_NOMINAL,-0.01,0.0225,32.19713143941541,1.0005768252197094,0.9966299538300369
LEG_0_NOMINAL,-0.01,0.025,32.195930017747294,1.0006338599693343,0.9963445428163274
LEG_0_NOMINAL,-0.01,0.0275,32.19473277700834,1.0006899658437316,0.9960610303564195
LEG_0_NOMINAL,-0.01,0.03,32.19354348296734,1.0007454122563846,0.9957795432354556
LEG_0_NOMINAL,-0.0075,-0.03,32.22383803842897,1.0159773057335362,1.0032246806929668
LEG_0_NOMINAL,-0.0075,-0.0275,32.22264357488446,1.0146011551181835,1.0029018384795754
LEG_0_NOMINAL,-0.0075,-0.025,32.22143518293603,1.0132330897182888,1.0025804204840405
LEG_0_NOMINAL,-0.0075,-0.0225,32.22023184495734,1.011873213547599,1.0022608235758392
LEG_0_NOMINAL,-0.0075,-0.02,32.21901292975065,1.010521935741288,1.0019427325937404
LEG_0_NOMINAL,-0.0075,-0.0175,32.21781207925637,1.0091770823832436,1.0016263363681288
LEG_0_NOMINAL,-0.0075,-0.015,32.21660871550349,1.0078408966976482,1.0013117200165922
LEG_0_NOMINAL,-0.0075,-0.0125,32.21540740084197,1.0065128759880575,1.0009988648460812
LEG_0_NOMINAL,-0.0075,-0.01,32.214202761559164,1.005193418552114,1.000687753207699
LEG_0_NOMINAL,-0.0075,-0.0075,32.21300203807689,1.0038817726982328,1.000378364641604
LEG_0_NOMINAL,-0.0075,-0.005,32.211800819075634,1.0025786655612576,1.0000707720539443
LEG_0_NOMINAL,-0.0075,-0.0025,32.21059947919277,1.0012839976118535,0.999764962242315
