model,family,policy,selected_by,candidate_count,valid_count,feasible_count,selected_flex,selected_extend,share_shift,E2,E3,E3_improvement_pct,E0_improvement_pct,max_component_worsening_pct,knee_speed_ratio,knee_accel_ratio,hip_peak_ratio,knee_peak_ratio
LEG_0_NOMINAL,BETA_TIMING,common_limits,E2,405,405,324,0.0,0.0,0.1,0.9987919137653803,0.9978737675986832,0.21262324013168188,0.4532429075961515,-0.12080862346196541,1.2999999999999998,1.6900000000000002,0.998246332455227,1.0000808630428408
LEG_0_NOMINAL,BETA_TIMING,common_limits,E3,405,405,324,-0.12,0.12,0.0,1.0018539002898708,0.9780171668108556,2.19828331891444,0.4442943509831473,0.1853900289870758,1.264620434613714,1.795756998282945,1.0000972178548873,1.0003461138286633
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,unrestricted,E2,405,405,405,0.0,0.03,0.1,0.9995826798097652,0.9959106672487028,0.4089332751297192,-0.8410075304523491,-0.04173201902347712,1.3373608886493258,2.0024925686281483,1.0000002110461073,1.000246988953867
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,unrestricted,E3,405,405,405,-0.12,0.12,0.1,1.000099261742533,0.9781455357721331,2.1854464227866854,-0.7815194431930282,0.00992617425330522,1.644006564997819,3.0348293270981497,1.0000002111019084,1.0001467444666428
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,common_limits,E2,405,405,324,0.0,0.0,0.1,0.9995837741735196,0.9991042157637712,0.08957842362288249,-0.8466123133204396,-0.04162258264803764,1.3,1.6900000000000004,1.0000002110460264,1.000103129291741
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,common_limits,E3,405,405,324,-0.12,0.12,0.0,1.000868792415246,0.9790644161499702,2.0935583850029804,0.06376169665386122,0.08687924152459559,1.264620434613707,1.7957569982829287,1.000000000073942,1.0002473844995956
LEG_2_KNEE_DOMINANT,BETA_TIMING,unrestricted,E2,405,405,405,0.0,0.0,0.1,0.9997407148863044,0.9993687954642728,0.06312045357271812,-0.12854660199041362,-0.025928511369555096,1.2999999999999998,1.69,1.0006948838094456,1.0000078651585032
LEG_2_KNEE_DOMINANT,BETA_TIMING,unrestricted,E3,405,405,405,-0.12,0.12,0.1,1.026089506248893,0.9892559462176502,1.0744053782349772,3.888510061574963,2.6089506248893057,1.6440065649977835,3.0348293270990734,1.000696738618379,1.000001241809586
LEG_2_KNEE_DOMINANT,BETA_TIMING,common_limits,E2,405,405,324,0.0,0.0,0.1,0.9997407148863044,0.9993687954642728,0.06312045357271812,-0.12854660199041362,-0.025928511369555096,1.2999999999999998,1.69,1.0006948838094456,1.0000078651585032
LEG_2_KNEE_DOMINANT,BETA_TIMING,common_limits,E3,405,405,324,-0.12,0.12,0.0,1.026725064862408,0.9898937436907858,1.0106256309214245,4.02856743528202,2.6725064862408,1.2646204346136796,1.7957569982834753,1.0000008737859876,1.0000067351977928
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,unrestricted,E2,405,405,405,0.0,0.0,0.1,0.9999413368563548,0.9998072233543724,0.019277664562755703,-0.31793252016151885,-0.005866314364522118,1.3,1.69,1.0000004302356769,0.9999971913762092
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,unrestricted,E3,405,405,405,-0.12,0.12,0.1,1.002422597633795,0.9809237736992884,1.9076226300711596,2.2880717348830446,0.24225976337950428,1.6440065649978037,3.0348293270991995,1.0000004303712664,0.9999981634647954
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,common_limits,E2,405,405,324,0.0,0.0,0.1,0.9999413368563548,0.9998072233543724,0.019277664562755703,-0.31793252016151885,-0.005866314364522118,1.3,1.69,1.0000004302356769,0.9999971913762092
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,common_limits,E3,405,405,324,-0.12,0.12,0.0,1.0028974175266907,0.9811210808844276,1.887891911557238,2.614463602275736,0.28974175266907043,1.2646204346136953,1.7957569982835502,1.0000000001451177,1.0000122067986135
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,unrestricted,E2,405,405,405,-0.12,0.12,0.1,0.9966910472302296,0.9810338948123134,1.89661051876866,0.156932116497272,-0.330895276977039,1.6440065649978102,3.0348293270989983,0.9999997817007525,1.0000503291171878
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,unrestricted,E3,405,405,405,-0.12,0.12,0.1,0.9966910472302296,0.9810338948123134,1.89661051876866,0.156932116497272,-0.330895276977039,1.6440065649978102,3.0348293270989983,0.9999997817007525,1.0000503291171878
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,common_limits,E2,405,405,324,-0.12,0.12,0.0,0.9967000196638984,0.9818514687311912,1.8148531268808776,0.9567969540346871,-0.3299980336101571,1.2646204346137,1.795756998283431,1.0000000000001552,1.0000044910900348
LEG_4_STRONG_STRUCTURAL_MISMATCH,BETA_TIMING,common_limits,E3,405,405,324,-0.12,0.12,0.0,0.9967000196638984,0.9818514687311912,1.8148531268808776,0.9567969540346871,-0.3299980336101571,1.2646204346137,1.795756998283431,1.0000000000001552,1.0000044910900348
MYOLEG_NATIVE_P0,BETA_TIMING,unrestricted,E2,405,405,405,0.12,-0.12,0.1,0.9955555150229772,0.9787351490124204,2.1264850987579575,2.1254417972744575,-0.4444484977022767,1.6123663267395114,2.7557699082475224,0.9986909230726218,1.00073920423011
MYOLEG_NATIVE_P0,BETA_TIMING,unrestricted,E3,405,405,405,0.12,-0.12,-0.1,0.9966352036107472,0.976183271441628,2.3816728558372025,-0.3254266066709328,-0.33647963892528,1.1076930752384793,1.9722566293943906,1.002119851697644,1.000289210854526
MYOLEG_NATIVE_P0,BETA_TIMING,common_limits,E2,405,405,324,0.12,-0.09,0.05,0.9957467928050462,0.9817970326546896,1.820296734531035,1.3691125773644155,-0.4253207194953812,1.3006294305409074,1.6243282273655997,0.9992518555578915,1.0002436620017892
MYOLEG_NATIVE_P0,BETA_TIMING,common_limits,E3,405,405,324,0.12,-0.12,-0.1,0.9966352036107472,0.976183271441628,2.3816728558372025,-0.3254266066709328,-0.33647963892528,1.1076930752384793,1.9722566293943906,1.002119851697644,1.000289210854526
LEG_0_NOMINAL,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,0.0,-0.06,0.1,0.9987919137653803,0.9920722592062572,0.792774079374281,0.5132105074734099,-0.12080862346196541,1.3219486810290895,1.8070048626335595,0.998246332455227,1.0000808630428408
LEG_0_NOMINAL,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,-0.12,-0.12,0.1,0.999621396894376,0.9731865399540842,2.6813460045915782,1.0209239322463592,-0.03786031056239869,1.3515161117436605,2.1234065793189054,0.998246332455227,1.0000808630428408
LEG_0_NOMINAL,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,0.0,-0.06,0.1,0.9987919137653803,0.9920722592062572,0.792774079374281,0.5132105074734099,-0.12080862346196541,1.3219486810290895,1.8070048626335595,0.998246332455227,1.0000808630428408
LEG_0_NOMINAL,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,-0.12,-0.12,0.05,1.0006885787403113,0.9743427545055032,2.565724549449677,0.7775129392923275,0.0688578740311252,1.1752314015162266,1.6056004380483213,0.9990370439515016,1.0000311453504054
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,0.0,-0.12,0.1,0.9995837741735196,0.9886966778841416,1.1303322115858383,-0.8272620812972588,-0.04162258264803764,1.3515161117436605,2.123406579318906,1.0000002110460264,1.000103129291741
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,-0.12,-0.12,0.1,1.000299097221056,0.9715854610157874,2.8414538984212645,-0.7397776690564092,0.029909722105592174,1.3515161117436605,2.123406579318906,1.0000002110460264,1.000103129291741
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,0.0,-0.09,0.1,0.9995837741735196,0.9909169221522552,0.9083077847744758,-0.8311226471363071,-0.04162258264803764,1.336732396386375,1.9652057209762328,1.0000002110460264,1.000103129291741
LEG_1_HEAVY_HIP_STIFF,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,-0.12,-0.12,0.05,1.0004968902826847,0.9720814797057832,2.791852029421682,-0.3208699363477584,0.049689028268473656,1.1752314015162262,1.6056004380483218,1.0000001188853564,1.0000336090880415
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,0.0,0.0,0.1,0.9997407148863044,0.9993687954642728,0.06312045357271812,-0.12854660199041362,-0.025928511369555096,1.2999999999999998,1.69,1.0006948838094456,1.0000078651585032
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,-0.12,-0.12,0.1,1.021424340694603,0.982207756279538,1.7792243720461953,5.541765560727733,2.1424340694603083,1.3515161117436607,2.1234065793189054,1.0006948838094456,1.0000078651585032
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,0.0,0.0,0.1,0.9997407148863044,0.9993687954642728,0.06312045357271812,-0.12854660199041362,-0.025928511369555096,1.2999999999999998,1.69,1.0006948838094456,1.0000078651585032
LEG_2_KNEE_DOMINANT,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,-0.12,-0.12,0.05,1.021768349673577,0.982531679750203,1.7468320249797054,5.4759914632688504,2.176834967357699,1.1752314015162264,1.6056004380483215,0.9995155651827964,1.0000010199909075
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,0.0,0.0,0.1,0.9999413368563548,0.9998072233543724,0.019277664562755703,-0.31793252016151885,-0.005866314364522118,1.3,1.69,1.0000004302356769,0.9999971913762092
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,-0.12,-0.12,0.1,1.0035935519243155,0.97382855464048,2.6171445359519985,3.54509432464444,0.3593551924315541,1.3515161117436607,2.1234065793189054,1.0000004302356769,0.9999971913762092
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,0.0,0.0,0.1,0.9999413368563548,0.9998072233543724,0.019277664562755703,-0.31793252016151885,-0.005866314364522118,1.3,1.69,1.0000004302356769,0.9999971913762092
LEG_3_NONLINEAR_COUPLED,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,-0.12,-0.12,0.05,1.0036279463913862,0.9739378030329088,2.6062196967091222,3.6163521441079682,0.3627946391386194,1.1752314015162264,1.6056004380483215,1.0000002420422367,0.9999988424555551
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,-0.12,-0.12,0.1,0.9963049431229896,0.9777298508671572,2.2270149132842754,0.4407536600900749,-0.36950568770104386,1.3515161117436605,2.1234065793189054,0.9999997817006704,1.0000462617401764
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,-0.12,-0.12,0.1,0.9963049431229896,0.9777298508671572,2.2270149132842754,0.4407536600900749,-0.36950568770104386,1.3515161117436605,2.1234065793189054,0.9999997817006704,1.0000462617401764
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,-0.12,-0.12,0.05,0.9964993090929178,0.978170261389997,2.1829738610003036,0.8118629372936988,-0.350069090708216,1.1752314015162264,1.6056004380483215,0.9999998775027644,1.0000202799717595
LEG_4_STRONG_STRUCTURAL_MISMATCH,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,-0.12,-0.12,0.05,0.9964993090929178,0.978170261389997,2.1829738610003036,0.8118629372936988,-0.350069090708216,1.1752314015162264,1.6056004380483215,0.9999998775027644,1.0000202799717595
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,unrestricted,E2,405,405,405,0.12,0.12,0.1,0.9943482868645608,0.9727960996496624,2.7203900350337595,2.269209639558286,-0.5651713135439218,1.3071664607115607,2.052120793609812,0.9987175583470335,1.000741767311125
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,unrestricted,E3,405,405,405,0.12,0.12,-0.1,0.9954072015814512,0.9701556486606172,2.984435133938279,-0.30807929826967845,-0.459279841854876,1.0761215856946555,1.6330093423009613,1.0021712581991407,1.0002892307352718
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,common_limits,E2,405,405,387,0.12,0.12,0.05,0.9945362485603608,0.9719926845055518,2.8007315494448237,1.621624192381924,-0.5463751439639175,1.1366664875752701,1.551698142616115,0.9992825067236702,1.0002450810349208
MYOLEG_NATIVE_P0,KEY_POSTURE_TIMING,common_limits,E3,405,405,387,0.12,0.12,-0.1,0.9954072015814512,0.9701556486606172,2.984435133938279,-0.30807929826967845,-0.459279841854876,1.0761215856946555,1.6330093423009613,1.0021712581991407,1.0002892307352718
