case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
rtonly,58,3129182967141700,10.1317,257,3129182961357500,3129182961374400,3129182967188100,7.9818,7.9826,5.9323,5.8306,5.8137,True,257,257,60,197,0,True,False,IDLE,streaming,True,False,29.6141,,,0,,,False,True,not_tested,False,False,,,
rtonly,59,3129182977135000,9.9933,258,3129182969334900,3129182969352900,3129182977183900,7.9774,7.9785,7.9531,7.849,7.831,True,258,258,61,197,0,True,False,IDLE,streaming,True,False,39.6123,,,0,,,False,True,not_tested,False,False,,,
rtonly,60,3129182987118500,9.9835,260,3129182985297200,3129182985314200,3129182987168000,7.98115,7.98065,2.0191,1.8708,1.8538,True,260,260,62,198,0,True,False,IDLE,streaming,True,False,49.6406,,,0,,,False,True,not_tested,False,False,,,
rtonly,61,3129182997074300,9.9558,261,3129182993358100,3129182993375500,3129182997120200,8.0609,8.0613,3.8648,3.7621,3.7447,True,261,261,63,198,0,True,False,IDLE,streaming,True,False,59.5472,,,0,,,False,True,not_tested,False,False,,,
rtonly,62,3129183006863400,9.7891,262,3129183001308500,3129183001327000,3129183006909600,7.9504,7.9515,5.703,5.6011,5.5826,True,262,262,64,198,0,True,False,IDLE,streaming,True,False,69.3358,,,0,,,False,True,not_tested,False,False,,,
rtonly,63,3129183017029200,10.1658,263,3129183009339500,3129183009375600,3129183017079200,8.031,8.0486,7.847,7.7397,7.7036,True,263,263,65,198,0,True,False,IDLE,streaming,True,False,79.5108,,,0,,,False,True,not_tested,False,False,,,
rtonly,64,3129183026999300,9.9701,265,3129183025362200,3129183025379800,3129183027045300,8.01135,8.0021,1.7844,1.6831,1.6655,True,265,265,66,199,0,True,False,IDLE,streaming,True,False,89.4709,,,0,,,False,True,not_tested,False,False,,,
rtonly,65,3129183036954200,9.9549,266,3129183033310000,3129183033328300,3129183037000500,7.9478,7.9485,3.7976,3.6905,3.6722,True,266,266,67,199,0,True,False,IDLE,streaming,True,False,99.4319,,,0,,,False,True,not_tested,False,False,,,
rtonly,66,3129183046945600,9.9914,267,3129183041359700,3129183041377600,3129183046993400,8.0497,8.0493,5.7402,5.6337,5.6158,True,267,267,68,199,0,True,False,IDLE,streaming,True,False,109.4242,,,0,,,False,True,not_tested,False,False,,,
rtonly,67,3129183057737900,10.7923,269,3129183057339600,3129183057356500,3129183057779800,7.98995,7.98945,0.6175,0.4402,0.4233,True,269,269,69,200,0,True,False,IDLE,streaming,True,False,16.5258,,,0,,,False,True,not_tested,False,False,,,
rtonly,68,3129183066886900,9.149,270,3129183065418200,3129183065435200,3129183066933800,8.0786,8.0787,1.6164,1.5156,1.4986,True,270,270,70,200,0,True,False,IDLE,streaming,True,False,25.6033,,,0,,,False,True,not_tested,False,False,,,
rtonly,69,3129183077724400,10.8375,271,3129183073347700,3129183073365100,3129183077763700,7.9295,7.9299,4.5102,4.416,4.3986,True,271,271,71,200,0,True,False,IDLE,streaming,True,False,36.4266,,,0,,,False,True,not_tested,False,False,,,
rtonly,70,3129183086834300,9.1099,272,3129183081256700,3129183081269900,3129183086880100,7.909,7.9048,5.7249,5.6234,5.6102,True,272,272,72,200,0,True,False,IDLE,streaming,True,False,45.5503,,,0,,,False,True,not_tested,False,False,,,
rtonly,71,3129183097674200,10.8399,274,3129183097413500,3129183097430200,3129183097715500,8.0784,8.08015,0.4004,0.302,0.2853,True,274,274,73,201,0,True,False,IDLE,streaming,True,False,56.3826,,,0,,,False,True,not_tested,False,False,,,
rtonly,72,3129183107597000,9.9228,275,3129183105350400,3129183105376200,3129183107663200,7.9369,7.946,2.4417,2.3128,2.287,True,275,275,74,201,0,True,False,IDLE,streaming,True,False,66.3608,,,0,,,False,True,not_tested,False,False,,,
rtonly,73,3129183117756300,10.1593,276,3129183113423200,3129183113439800,3129183117803000,8.0728,8.0636,4.481,4.3798,4.3632,True,276,276,75,201,0,True,False,IDLE,streaming,True,False,76.4729,,,0,,,False,True,not_tested,False,False,,,
