main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_s,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_alive,wrench_query_in_flight,wrench_in_flight_age_ms,last_wrench_error,last_wrench_error_code
3116312643791600,31.9034,200,3116312.6359956,7.86300003528595,True,IDLE,32,14.6511,True,False,True,False,,,
3116312643924200,0.1326,200,3116312.6359956,7.960699964314699,True,IDLE,32,14.7837,True,False,True,False,,,
3116312659778200,15.854,202,3116312.6519507,7.896199822425842,True,IDLE,32,30.6377,True,False,True,False,,,
3116312675730800,15.9526,204,3116312.6679109,7.889099884778261,True,IDLE,32,46.5903,True,False,True,False,,,
3116312675864600,0.1338,204,3116312.6679109,7.9955002292990685,True,IDLE,32,46.7241,True,False,True,False,,,
3116312699736000,23.8714,207,3116312.6918895,7.924300152808428,True,IDLE,33,14.8093,True,False,True,False,,,
3116312699881100,0.1451,207,3116312.6918895,8.024800103157759,True,IDLE,33,14.9544,True,False,True,False,,,
3116312723706400,23.8253,210,3116312.7158267,7.947499863803387,True,IDLE,33,38.7797,True,False,True,False,,,
3116312723838500,0.1321,210,3116312.7158267,8.046300150454044,True,IDLE,33,38.9118,True,False,True,False,,,
3116312747728800,23.8903,213,3116312.7397488,8.026099763810635,True,IDLE,34,14.8929,True,False,True,False,,,
3116312747819700,0.0909,213,3116312.7397488,8.091699797660112,True,IDLE,34,14.9838,True,False,True,False,,,
3116312771695200,23.8755,216,3116312.7637118,8.050000295042992,True,IDLE,34,38.8593,True,False,True,False,,,
3116312771826400,0.1312,216,3116312.7637118,8.157799951732159,True,IDLE,34,38.9905,True,False,True,False,,,
3116312788909600,17.0832,218,3116312.779941,9.006499778479338,True,IDLE,35,0.2063,True,False,True,False,,,
3116312803751400,14.8418,220,3116312.7959096,7.990800309926271,True,IDLE,35,15.0481,True,False,True,False,,,
3116312804107200,0.3558,220,3116312.7959096,8.282400202006102,True,IDLE,35,15.4039,True,False,True,False,,,
3116312827853300,23.7461,223,3116312.820263,7.642399985343218,True,IDLE,35,39.15,True,False,True,False,,,
3116312827954600,0.1013,223,3116312.820263,7.722199894487858,True,IDLE,35,39.2513,True,False,True,False,,,
3116312851842200,23.8876,226,3116312.843834,8.060299791395664,True,IDLE,36,22.5214,True,False,True,False,,,
3116312851951800,0.1096,226,3116312.843834,8.144199848175049,True,IDLE,36,22.631,True,False,True,False,,,
3116312867957500,16.0057,228,3116312.8599366,8.068100083619356,True,IDLE,36,38.6367,True,False,True,False,,,
3116312883849500,15.892,230,3116312.8759584,7.954600267112255,True,IDLE,36,54.5287,True,False,True,False,,,
3116312883968800,0.1193,230,3116312.8759584,8.038000203669071,True,IDLE,36,54.648,True,False,True,False,,,
3116312899940900,15.9721,232,3116312.8919522,8.04489990696311,True,IDLE,37,14.5994,True,False,True,False,,,
3116312915825600,15.8847,234,3116312.9078053,8.082200307399035,True,IDLE,37,30.4841,True,False,True,False,,,
3116312915947700,0.1221,234,3116312.9078053,8.172200061380863,True,IDLE,37,30.6062,True,False,True,False,,,
3116312955688300,39.7406,239,3116312.9478018,7.974700070917606,True,IDLE,38,14.4564,True,False,True,False,,,
3116312955843200,0.1549,239,3116312.9478018,8.086599875241518,True,IDLE,38,14.6113,True,False,True,False,,,
