stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118870464379800,40.3261,535,3118870456333500,8.0463,True,IDLE,44,40.9668,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870512232700,47.8529,541,3118870504388300,7.8444,True,IDLE,46,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870544234700,32.002,545,3118870536371300,7.8634,True,IDLE,46,21.3019,True,False,7804,3118867145639300,True,,idle,21.2801,False,,,
overlap,3118870568108000,23.8733,548,3118870560232600,7.8754,True,IDLE,47,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870616049200,47.9412,554,3118870608156900,7.8923,True,IDLE,47,43.0753,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870655987500,39.9383,559,3118870648229200,7.7583,True,IDLE,48,33.155,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870696202200,40.2147,564,3118870688230300,7.9719,True,IDLE,49,22.6376,True,False,7804,3118867145639300,True,,idle,22.614,False,,,
overlap,3118870727875100,31.6729,568,3118870720073300,7.8018,True,IDLE,50,4.4905,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870808137500,80.2624,578,3118870800124500,8.013,True,IDLE,51,35.6085,True,False,7804,3118867145639300,True,,idle,35.584,False,,,
overlap,3118870840096600,31.9591,582,3118870832016500,8.0801,True,IDLE,52,17.1544,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870912128300,72.0317,591,3118870904245300,7.883,True,IDLE,54,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118870968108400,55.9801,598,3118870960209100,7.8993,True,IDLE,54,45.118,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871008053800,39.9454,603,3118871000230200,7.8236,True,IDLE,55,35.3517,True,False,7804,3118867145639300,True,,idle,35.3207,False,,,
overlap,3118871040149700,32.0959,607,3118871032060300,8.0894,True,IDLE,56,17.4622,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871168016500,127.8668,623,3118871160039200,7.9773,True,IDLE,58,45.1215,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871279932300,111.9158,637,3118871272054200,7.8781,True,IDLE,61,6.4987,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871359881100,79.9488,647,3118871351999400,7.8817,True,IDLE,62,36.4281,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871416036300,56.1552,654,3118871408064600,7.9717,True,IDLE,64,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871464719500,48.6832,660,3118871456151600,8.5679,True,IDLE,64,41.6201,True,False,7804,3118867145639300,True,,idle,41.6034,False,,,
overlap,3118871495876800,31.1573,664,3118871488017800,7.859,True,IDLE,65,9.2594,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871552105400,56.2286,671,3118871544063400,8.042,True,IDLE,67,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871616152000,64.0466,679,3118871608184800,7.9672,True,IDLE,67,42.2832,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871640059800,23.9078,682,3118871632226500,7.8333,True,IDLE,68,17.1155,True,False,7804,3118867145639300,True,,idle,17.0924,False,,,
overlap,3118871680178700,40.1189,687,3118871672045700,8.133,True,IDLE,69,8.2216,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871752042400,71.8637,696,3118871744068400,7.974,True,IDLE,70,29.4934,True,False,7804,3118867145639300,True,,idle,29.4726,False,,,
overlap,3118871783896900,31.8545,700,3118871775936700,7.9602,True,IDLE,71,10.6457,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118871904089000,120.1921,715,3118871896370800,7.7182,True,IDLE,73,32.8151,True,False,7804,3118867145639300,True,,idle,32.6258,False,,,
overlap,3118871936016800,31.9278,719,3118871927990100,8.0267,True,IDLE,74,13.0427,True,False,7804,3118867145639300,True,,idle,13.025,False,,,
overlap,3118871976075600,40.0588,724,3118871968358500,7.7171,True,IDLE,75,3.091,True,False,7804,3118867145639300,True,,idle,3.0699,False,,,
overlap,3118872024069200,47.9936,730,3118872016172700,7.8965,True,IDLE,76,2.0797,True,False,7804,3118867145639300,True,,idle,2.0523,False,,,
overlap,3118872080093400,56.0242,737,3118872072175200,7.9182,True,IDLE,77,7.7134,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872176044800,95.9514,749,3118872168170300,7.8745,True,IDLE,79,2.8266,True,False,7804,3118867145639300,True,,idle,2.6589,False,,,
overlap,3118872208104700,32.0599,753,3118872200139500,7.9652,True,IDLE,79,34.8865,True,False,7804,3118867145639300,True,,idle,34.7188,False,,,
overlap,3118872239994000,31.8893,757,3118872232049400,7.9446,True,IDLE,80,16.5089,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872336192500,96.1985,769,3118872328072200,8.1203,True,IDLE,82,14.2137,True,False,7804,3118867145639300,True,,idle,14.0328,False,,,
overlap,3118872368024600,31.8321,773,3118872360113800,7.9108,True,IDLE,82,46.0458,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872408104300,40.0797,778,3118872400139400,7.9649,True,IDLE,83,36.0208,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872448109900,40.0056,783,3118872440333200,7.7767,True,IDLE,84,25.5021,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872496210200,48.1003,789,3118872488373900,7.8363,True,IDLE,85,23.0412,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872528438600,32.2284,793,3118872520397200,8.0414,True,IDLE,86,5.7302,True,False,7804,3118867145639300,True,,idle,5.6995,False,,,
overlap,3118872560126700,31.6881,797,3118872552131200,7.9955,True,IDLE,86,37.4183,True,False,7804,3118867145639300,True,,idle,37.3876,False,,,
overlap,3118872576254500,16.1278,799,3118872568256300,7.9982,True,IDLE,87,3.0138,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872656283900,80.0294,809,3118872648199200,8.0847,True,IDLE,88,33.8435,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872728056500,71.7726,818,3118872720350100,7.7064,True,IDLE,90,4.9042,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872792121800,64.0653,826,3118872784284400,7.8374,True,IDLE,91,19.1239,True,False,7804,3118867145639300,True,,idle,19.0937,False,,,
overlap,3118872816071600,23.9498,829,3118872808262800,7.8088,True,IDLE,92,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118872912160300,96.0887,841,3118872904308200,7.8521,True,IDLE,93,39.6497,True,False,7804,3118867145639300,True,,idle,39.6243,False,,,
overlap,3118872944089900,31.9296,845,3118872936218800,7.8711,True,IDLE,94,21.5085,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873024271400,80.1815,855,3118873016216100,8.0553,True,IDLE,96,1.915,True,False,7804,3118867145639300,True,,idle,1.6613,False,,,
overlap,3118873072215300,47.9439,861,3118873064495900,7.7194,True,IDLE,97,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873112296900,40.0816,866,3118873104207500,8.0894,True,IDLE,97,39.3088,True,False,7804,3118867145639300,True,,idle,39.2816,False,,,
overlap,3118873144006100,31.7092,870,3118873136093600,7.9125,True,IDLE,98,20.9276,True,False,7804,3118867145639300,True,,idle,20.8972,False,,,
overlap,3118873184046700,40.0406,875,3118873176050100,7.9966,True,IDLE,99,11.5884,True,False,7804,3118867145639300,True,,idle,11.568,False,,,
overlap,3118873224206800,40.1601,880,3118873216170200,8.0366,True,IDLE,100,1.3225,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873360216600,136.0098,897,3118873352311500,7.9051,True,IDLE,103,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873408036100,47.8195,903,3118873400155500,7.8806,True,IDLE,103,34.6157,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873440356700,32.3206,907,3118873432139200,8.2175,True,IDLE,104,17.4421,True,False,7804,3118867145639300,True,,idle,17.4268,False,,,
overlap,3118873472183000,31.8263,911,3118873464250100,7.9329,True,IDLE,105,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873552038900,79.8559,921,3118873544076700,7.9622,True,IDLE,107,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873656234400,104.1955,934,3118873648136100,8.0983,True,IDLE,108,33.5422,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873696324700,40.0903,939,3118873688281400,8.0433,True,IDLE,109,23.1646,True,False,7804,3118867145639300,True,,idle,23.138,False,,,
overlap,3118873727970500,31.6458,943,3118873720107200,7.8633,True,IDLE,110,4.8688,True,False,7804,3118867145639300,True,,idle,4.8532,False,,,
overlap,3118873744078200,16.1077,945,3118873736242000,7.8362,True,IDLE,110,20.9765,True,False,7804,3118867145639300,True,,idle,20.9609,False,,,
overlap,3118873768073600,23.9954,948,3118873760084600,7.989,True,IDLE,110,44.9719,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
