case_id,bo_variant,budget,posterior_recommended_trajectory_id,posterior_recommended_J_mean,posterior_recommended_std,fitted_kernel,recommendation_is_primary_physical_decision,unqueried_truth_used
baseline__combined_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.964258163045,0.000795217648298,"0.00377**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__combined_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02500,0.964093615932,4.50051299946e-05,"0.00312**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__combined_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02250,0.964110299204,2.10173671689e-05,"0.00282**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__combined_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.02750,0.96562194824,0.00113306042419,"0.00533**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
baseline__combined_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02500,0.965450953199,5.52446745575e-05,"0.00382**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=5.87e-12)",False,False
baseline__combined_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p-0.01250,0.965425976638,0.000635241497346,"0.00371**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=2.73e-12)",False,False
baseline__combined_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02250,0.965468755276,2.30122277463e-05,"0.0029**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,9.78146024762e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.01500,0.964933500785,5.53302517093e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.01500,0.964933500785,1.90091927161e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.01000,0.964934110345,1.44693397809e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
