model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,2,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,3,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,REFERENCE,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,REFERENCE,1,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,REFERENCE,2,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,REFERENCE,3,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,RANDOM,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,RANDOM,1,0.43704948956076245,0.016565088954422165,0.7912408401449286,0.55
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,RANDOM,2,0.6070837611152419,0.014864746238877366,0.7100230089287061,1.15
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,RANDOM,3,0.6746368408809006,0.014189215441220777,0.6777558984198379,1.85
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,ADAPTIVE_GREEDY,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,ADAPTIVE_GREEDY,1,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,ADAPTIVE_GREEDY,2,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,ADAPTIVE_GREEDY,3,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,PURE_BO_EI,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,PURE_BO_EI,1,0.0,0.0209355838500298,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,PURE_BO_EI,2,2.01977739546898,0.00073780989534,0.0352419068235802,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,PURE_BO_EI,3,2.01977739546898,0.00073780989534,0.0352419068235802,1.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,0,0.0,0.0209355838500298,1.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,1,2.0935583850029804,0.0,0.0,0.0
