model,family,tier,method,seed,trial_index,candidate_id,parameter_flex,parameter_extend,share_shift,E3,E2,peak_ratio,feasible,best_E3,best_candidate_id,next_selection
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,2,BETA_TIMING:52,-0.09,-0.03,0.1,0.9946096914755479,1.0124308430678708,1.0001421081311581,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:315', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,3,BETA_TIMING:315,0.12,0.06,-0.05,1.0019094686904584,1.032904077364609,1.0010746419187448,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:41', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,1,BETA_TIMING:41,-0.09,-0.09,0.0,1.0049195159624928,1.0510319012876717,1.0000730601351537,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:187', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,2,BETA_TIMING:187,0.03,-0.06,-0.1,1.0116952915039077,1.0352910076907564,1.0026773052001758,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:37', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,3,BETA_TIMING:37,-0.09,-0.12,-0.05,1.0101772225797108,1.0708907246104942,1.0012942239514588,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:315', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,1,BETA_TIMING:315,0.12,0.06,-0.05,1.0019094686904584,1.032904077364609,1.0010746419187448,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:237', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,2,BETA_TIMING:237,0.06,0.0,0.1,1.0019118104167917,1.015397826315551,1.000154553381727,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:95', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,3,BETA_TIMING:95,-0.06,0.03,-0.05,0.9928964200273396,1.001580960799795,1.001257030003468,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:94', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,1,BETA_TIMING:94,-0.06,0.03,-0.1,0.9938406601982985,1.0022675457059134,1.0029093090727805,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:258', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,2,BETA_TIMING:258,0.09,-0.09,0.05,1.016859064552407,1.0495024460672997,1.0000630335175031,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:1', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,16,3,BETA_TIMING:1,-0.12,-0.12,-0.05,1.007578676075874,1.0708907246104942,1.0013472073973075,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:117', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,1,BETA_TIMING:117,-0.03,-0.06,0.0,1.0055540771936287,1.0330521002232749,1.0000325090842461,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:69', 'acquisition_value': None, 'metadata': {}}"
