family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
KEY_POSTURE_TIMING,0.0,PURE_BO_EI,1,0.3465212324753238,0.012429661677720867,0.84126184987092,0.8333333333333334
KEY_POSTURE_TIMING,0.0,PURE_BO_EI,2,0.3465212324753238,0.012429661677720867,0.84126184987092,1.6666666666666667
KEY_POSTURE_TIMING,0.0,PURE_BO_EI,3,0.3465212324753238,0.012429661677720867,0.84126184987092,2.5
KEY_POSTURE_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0.0,0.0158948740024741,1.0,0.0
KEY_POSTURE_TIMING,0.0,MODEL_INFORMED_BO_EI,1,0.8612348324897656,0.007282525677576483,0.6666666666666666,0.6666666666666666
KEY_POSTURE_TIMING,0.0,MODEL_INFORMED_BO_EI,2,0.8612348324897656,0.007282525677576483,0.6666666666666666,1.3333333333333333
KEY_POSTURE_TIMING,0.0,MODEL_INFORMED_BO_EI,3,1.2673698651468908,0.00322117535100525,0.5,1.8333333333333333
KEY_POSTURE_TIMING,0.01,REFERENCE,0,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,REFERENCE,1,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,REFERENCE,2,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,REFERENCE,3,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,RANDOM,0,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,RANDOM,1,0.2136390776319469,0.02125235601385468,0.9165386929799507,0.7999999999999999
KEY_POSTURE_TIMING,0.01,RANDOM,2,0.4384689335619501,0.019004057454554652,0.8293098214345553,1.5916666666666668
KEY_POSTURE_TIMING,0.01,RANDOM,3,0.7448977008298777,0.015939769781875376,0.7066408978108774,2.2
KEY_POSTURE_TIMING,0.01,ADAPTIVE_GREEDY,0,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,ADAPTIVE_GREEDY,1,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.16666666666666666
KEY_POSTURE_TIMING,0.01,ADAPTIVE_GREEDY,2,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.3333333333333333
KEY_POSTURE_TIMING,0.01,ADAPTIVE_GREEDY,3,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.5
KEY_POSTURE_TIMING,0.01,PURE_BO_EI,0,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,PURE_BO_EI,1,1.6015173216035388,0.0073735735741387665,0.36880877925963257,0.3333333333333333
KEY_POSTURE_TIMING,0.01,PURE_BO_EI,2,1.6015173216035388,0.0073735735741387665,0.36880877925963257,0.6666666666666666
KEY_POSTURE_TIMING,0.01,PURE_BO_EI,3,1.6015173216035388,0.0073735735741387665,0.36880877925963257,1.0
KEY_POSTURE_TIMING,0.01,MODEL_INFORMED_BO_EI,0,0.0,0.02338874679017415,1.0,0.0
KEY_POSTURE_TIMING,0.01,MODEL_INFORMED_BO_EI,1,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.16666666666666666
