model,family,tier,method,seed,K_additional,executed_trials,best_E3,improvement_pct,oracle_E3,headroom,regret,normalized_regret,constraint_violations
LEG_0_NOMINAL,BETA_TIMING,0.01,REFERENCE,0,1,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,REFERENCE,0,2,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,REFERENCE,0,3,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,0,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,0,1,2,0.9780171668108555,2.1982833189144513,0.9780171668108556,0.021982833189144402,0.0,0.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,0,2,3,0.9780171668108555,2.1982833189144513,0.9780171668108556,0.021982833189144402,0.0,0.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,0,3,4,0.9780171668108555,2.1982833189144513,0.9780171668108556,0.021982833189144402,0.0,0.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,1,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,1,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,1,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,1,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,2,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,2,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,2,2,3,0.9954974364913016,0.4502563508698376,0.9780171668108556,0.021982833189144402,0.017480269680446026,0.7951781979166435,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,2,3,4,0.9954974364913016,0.4502563508698376,0.9780171668108556,0.021982833189144402,0.017480269680446026,0.7951781979166435,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,3,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,3,1,2,0.9987339025856041,0.12660974143958725,0.9780171668108556,0.021982833189144402,0.02071673577474853,0.942405175734077,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,3,2,3,0.9987339025856041,0.12660974143958725,0.9780171668108556,0.021982833189144402,0.02071673577474853,0.942405175734077,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,3,3,4,0.9987339025856041,0.12660974143958725,0.9780171668108556,0.021982833189144402,0.02071673577474853,0.942405175734077,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,4,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,4,1,2,0.9962908676624992,0.3709132337500809,0.9780171668108556,0.021982833189144402,0.018273700851643593,0.8312714150361448,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,4,2,3,0.9962908676624992,0.3709132337500809,0.9780171668108556,0.021982833189144402,0.018273700851643593,0.8312714150361448,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,4,3,4,0.9962908676624992,0.3709132337500809,0.9780171668108556,0.021982833189144402,0.018273700851643593,0.8312714150361448,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,5,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,5,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,5,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,5,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,6,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,6,1,2,0.9855528368353137,1.4447163164686305,0.9780171668108556,0.021982833189144402,0.0075356700244580965,0.3427979441785226,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,6,2,3,0.9855528368353137,1.4447163164686305,0.9780171668108556,0.021982833189144402,0.0075356700244580965,0.3427979441785226,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,6,3,4,0.9855528368353137,1.4447163164686305,0.9780171668108556,0.021982833189144402,0.0075356700244580965,0.3427979441785226,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,7,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,7,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,7,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,7,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,8,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,8,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,8,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,8,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,9,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,9,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,9,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,9,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,10,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,10,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,10,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,10,3,4,0.9948628797145049,0.5137120285495067,0.9780171668108556,0.021982833189144402,0.016845712903649335,0.7663121836346424,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,11,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,11,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,11,2,3,0.9961786570568046,0.38213429431953605,0.9780171668108556,0.021982833189144402,0.01816149024594904,0.8261669498960479,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,11,3,4,0.9961786570568046,0.38213429431953605,0.9780171668108556,0.021982833189144402,0.01816149024594904,0.8261669498960479,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,12,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,12,1,2,0.979938736379956,2.006126362004401,0.9780171668108556,0.021982833189144402,0.0019215695691003898,0.08741227996258928,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,12,2,3,0.979938736379956,2.006126362004401,0.9780171668108556,0.021982833189144402,0.0019215695691003898,0.08741227996258928,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,12,3,4,0.979938736379956,2.006126362004401,0.9780171668108556,0.021982833189144402,0.0019215695691003898,0.08741227996258928,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,13,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,13,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,13,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,13,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,14,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,14,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,14,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,14,3,4,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,15,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,15,1,2,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,15,2,3,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,15,3,4,0.9928964200273396,0.7103579972660423,0.9780171668108556,0.021982833189144402,0.014879253216483979,0.6768578503262116,2
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,16,0,1,1.0,0.0,0.9780171668108556,0.021982833189144402,0.021982833189144402,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,16,1,2,0.9938406601982985,0.6159339801701469,0.9780171668108556,0.021982833189144402,0.015823493387442933,0.71981137514417,0
LEG_0_NOMINAL,BETA_TIMING,0.01,RANDOM,16,2,3,0.9938406601982985,0.6159339801701469,0.9780171668108556,0.021982833189144402,0.015823493387442933,0.71981137514417,1
