case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,evaluated_horizon_sequence,adaptive_escalation_stop_reason,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,8,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.998517860983,0.998518418444,0.977952631223,0.977952631223,0.977952631223,0.0205600931525,0.0205657872213,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0628004213469,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,9,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.998152038596,0.998152595928,0.977952631223,0.977952631223,0.977952631223,0.0201942707652,0.0201999647054,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0830003860524,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,10,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,-5,0,0,-5,0,0.997787629327,0.997788186528,0.977952631223,0.977952631223,0.977952631223,0.0198298614965,0.0198355553055,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.102835941358,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,11,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,-5,0,0,-5,0,0.997424645141,0.997425202209,0.977952631223,0.977952631223,0.977952631223,0.0194668773105,0.0194725709859,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.122308512344,
knee_stiff__matched_linear,knee_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,12,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.997063097918,0.997063654849,0.977952631223,0.977952631223,0.977952631223,0.0191053300869,0.019111023626,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.14141953597,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999348273538,0.99934768035,1,1,1,-0.000651726461822,-0.00065231965009,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,3,2,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H3,asym_h+0.000_k-0.750_p+0.00000,0,-0.75,0,0,0,0,0,-0.75,0,0.994990395147,0.994985123766,1,1,0.994985123766,-0.00500960485339,-0.00501487623437,True,False,1;2;3,FIRST_ELIGIBLE_HORIZON_SELECTED,2,0,1,True,True,True,False,True,EXECUTED,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,3,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-2.000_p+0.00000,0,-2,0,0,-0.75,0,0,-2,0,0.986781706663,0.986776387938,0.994985123766,0.994985123766,0.986776387938,-0.00820868848395,-0.00820873582763,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,4,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-3.250_p+0.00000,0,-3.25,0,0,-2,0,0,-3.25,0,0.978746731969,0.978741364951,0.986776387938,0.986776387938,0.978741364951,-0.00803497469374,-0.00803502298678,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,5,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-4.500_p+0.00000,0,-4.5,0,0,-3.25,0,0,-4.5,0,0.970884344171,0.970878927922,0.978741364951,0.978741364951,0.970878927922,-0.00786238779837,-0.00786243702947,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,6,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-4.5,0,0,-4.5,0,0.99870663625,0.998706043352,0.970878927922,0.970878927922,0.970878927922,0.0278222920793,0.02782711543,False,False,1;2;3;5,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0.02782711543,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,7,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-4.5,0,0,-4.5,0,0.998069869126,0.998069276508,0.970878927922,0.970878927922,0.970878927922,0.0271855249552,0.0271903485867,False,False,1;2;3;5,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0.0550174640167,
heavy_leg__matched_linear,heavy_leg,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,8,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-4.5,0,0,-4.5,0,0.997437988045,0.997437395699,0.970878927922,0.970878927922,0.970878927922,0.0265536438744,0.0265584677775,False,False,1;2;3;5,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0.0815759317942,
