summary_scope,coordinate,direction,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,location_class,direction_evidence_status,heteroscedasticity_threshold_defined,axis_specific_threshold_created
AXIS_DIRECTION_LOCATION,knee,NEGATIVE,12,0.000762263659763,8.99202783096e-05,0.00169371587278,0.0026359063762,0.00355141800011,0.00378029590608,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,knee,POSITIVE,12,0.000718638746202,8.61464675291e-05,0.00163895283662,0.0024662128982,0.00326812741284,0.0034686060415,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,knee,POSITIVE,12,0.000572294808756,6.64021155581e-05,0.00130903656096,0.00194150845838,0.00255878329705,0.00271310200672,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,knee,POSITIVE,12,0.00075933821622,9.26841774237e-05,0.00168036785223,0.0025887610867,0.00347630583294,0.0036981920195,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,12,1.91978425853e-05,1.68797148942e-06,4.79575393938e-05,6.3035544283e-05,7.77048905496e-05,8.13722271162e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,12,7.806892524e-06,3.63596188901e-06,1.53833318648e-05,2.57756971717e-05,3.56062624261e-05,3.80639037397e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,12,2.53804344832e-05,7.22032998862e-06,5.99576781813e-05,7.70195006339e-05,9.33577665827e-05,9.744233307e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,12,1.48339600224e-05,2.59057293012e-06,5.17501424672e-05,5.94106545126e-05,6.44944959191e-05,6.57654562707e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,12,5.36440349694e-06,1.92595682502e-06,1.45969837127e-05,1.54828087367e-05,1.60285235505e-05,1.6164952254e-05,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_BOUNDARY,,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,12,2.56240278093e-05,4.53169289627e-06,5.84325964684e-05,8.07397144174e-05,0.000102163895463,0.000107519940724,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_BOUNDARY,,False,False
