case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,calibrated_uncertainty,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_executed_false_improvements,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,prospective_cohort_run,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
baseline__combined_mild,baseline,combined_mild,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0358927642302,0.00172312331363,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0358927642302,0.00172312331363,False
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.966892394609,0.0331076053914,0,4,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.966896990161,asym_h+2.000_k-5.000_p+0.01250,0.96410723577,2,-5,0.0125,0.0027897543916,0.000362026154498,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,8,0,8,0,,8,0,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.0350667794579,0.00159708142236,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,8,0,8,0,,8,0,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.0350667794579,0.00159708142236,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,8,0,8,0,,8,0,0,0,1,1,0,0,8,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,1,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.0350667794579,0.00159708142236,False
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.969202794811,0.030797205189,0.195131106049,12,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,1,0,1,0.969208014726,asym_h+2.000_k-5.000_p+0.01250,0.964933220542,2,-5,0.0125,0.00427479418365,0.000551587562491,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h-5.000_k-5.000_p-0.02500,0.939022229778,-5,-5,-0.025,0.0609777702223,0.00261732001732,False
