case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
knee_stiff__matched_linear,knee_stiff,matched_linear,BUNDLE_5,13,STOP,False,False,-0.00186340747764,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,1,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,2,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,3,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,4,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,5,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,6,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,7,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,8,EXPLORE,False,False,-0.00167725990538,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SINGLE_STEP,9,STOP,False,False,-0.00165338635217,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,1,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,2,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,3,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,4,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,5,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,6,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,7,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,8,EXPLORE,False,False,-0.00334693073431,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,9,STOP,False,False,-0.0032992800488,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,1,EXPLORE,True,True,-0.00500960485339,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,2,EXPLOIT,True,False,-0.00500960485339,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,3,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,4,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,5,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,6,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,7,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,8,EXPLORE,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,9,EXPLORE,False,False,-0.00494611785343,True,False
