subject_id,truth_scenario,iteration,alpha_hip,alpha_knee,alpha_phase,time_scale,parent_reference_id,parent_reference_sha256,trajectory_id,trajectory_feasible,invalid_reason,domain_coverage,trajectory_sha256,reference_deviation,combined_peak_ratio,combined_torque_rate_ratio,mechanical_cost_j_rms,hip_rms_ratio,knee_rms_ratio,hip_peak_ratio,knee_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,reference_deviation_definition,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,deterministic_rank,mechanically_equivalent_to_minimum,proposed_for_execution
baseline,combined_mild,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,1.00075458079,0.997097266695,1.00192094863,1.0024671133,1.00137448607,1.0000033241,1.00150527394,0.992645911819,1.00152883745,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.3221474559,12.6285826379,36.7957131578,18.3263538277,1.85790199855,2.67648797635,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,5,False,False
baseline,combined_mild,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,combined_mild,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.993573247143,0.996656384302,0.994127934436,1.00034411753,0.987872636815,1.00001108074,0.987093426826,1.00297678856,0.990295641888,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.2579320919,12.4583074596,36.7959985679,18.0626341885,1.87723795342,2.64646835859,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,1,True,True
baseline,combined_mild,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.0000161866,1.00708012955,0.99990699477,1.00006929704,0.999744666149,0.999993617782,1.00003875491,1.01134022646,1.00280193508,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.2496194527,12.6080285736,36.7953560082,18.2995182758,1.89289151911,2.67989020538,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,2,False,False
baseline,combined_mild,1,0,0,-0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p-0.01000,True,,99.7506234414,328fdf1633e441e03afc11e246c786f9359c1b8df11ac69c35c6e22d0a463813,0.354238952104,1.00003401703,1.00303628549,1.00009554629,0.999903040897,1.00028801463,1.00002854803,1.00003948599,1.00755639168,0.998495717373,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.2445906161,12.6148808764,36.7966412874,18.2995316537,1.88580944268,2.66838225924,30.2475233888,12.6112486522,36.7955908457,18.2988091072,1.87166639829,2.67240230761,4,False,False
hip_stiff,combined_mild,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.5760808866,12.6118201663,49.1035074964,18.2997471589,0.971992987602,2.67300355762,46.5760808866,12.6118201663,49.1035074964,18.2997471589,0.971992987602,2.67300355762,3,False,False
hip_stiff,combined_mild,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
hip_stiff,combined_mild,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,0.999947643722,1.00637658208,1.00025620178,0.999135757668,1.00137539222,0.998386581548,1.00150627265,1.01120027997,1.00152965194,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.5358278659,12.6291663656,49.0242829914,18.3273115675,0.982879581188,2.6770923227,46.5760808866,12.6118201663,49.1035074964,18.2997471589,0.971992987602,2.67300355762,5,False,False
hip_stiff,combined_mild,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
hip_stiff,combined_mild,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.993786351164,1.00415965048,0.994094715448,1.00028060833,0.987870088203,1.00043726867,0.987090621458,1.01783547285,0.99029498511,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.5891505228,12.4588399,49.124978922,18.0635087956,0.98932894214,2.64706201829,46.5760808866,12.6118201663,49.1035074964,18.2997471589,0.971992987602,2.67300355762,1,True,True
