case_id,subject_id,scenario_name,distance_to_supported_region,distance_definition,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation
baseline__matched_linear,baseline,matched_linear,6.403124,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,4.15356637973e-14,3.78586051397e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,6.708204,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,6.7310601537e-14,6.40598685209e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,3.25304989295e-13,3.14748227481e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7.071068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,75,9.84871443658e-14,9.50350909079e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7.211103,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,5.10613773486e-14,4.57411886146e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7.28011,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.07363007373e-13,1.06969988423e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7.615773,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,8.60334026243e-14,8.53761505937e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,7.81025,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,4.06563671618e-14,3.5527136788e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,3.46737495858e-13,3.35953487252e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.062258,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,100,1.08504316643e-13,1.07858166842e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.246211,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.28770327734e-13,1.28175248193e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.485281,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,3.71702668645e-14,3.46389583683e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.544004,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.07307496222e-13,1.06914477271e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.602325,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,5.00754993027e-14,4.40758540776e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,8.944272,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,8.6022300394e-14,8.58757509548e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,875,3.68162516346e-13,3.57269769324e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.055385,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.71724856557e-13,1.70974345792e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.219544,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,100,9.51949630235e-14,8.31557045444e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.433981,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,6.58051391156e-14,6.42819131258e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.486833,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.28721477921e-13,1.28397292798e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.848858,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.07469588784e-13,1.07358566481e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,9.899495,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,3.69038133385e-14,3.50830475782e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,925,3.71174202485e-13,3.6926017799e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.049876,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.93165483608e-13,1.92235116714e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.198039,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.71658243175e-13,1.71085368095e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.29563,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,8.57713899904e-14,8.57092175011e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.440307,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.50137680066e-13,1.49769086022e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.630146,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,3.9990233347e-14,3.60822483003e-14,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.77033,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,1.2886802736e-13,1.28730359705e-13,1,0,0,1
baseline__matched_linear,baseline,matched_linear,10.816654,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,6.53255227689e-14,6.45039577307e-14,1,0,0,1
