case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__matched_linear,baseline,matched_linear,76.558603,False,491,3.03636952648e-13,2.90656387847e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,76.80798,False,756,3.2491646058e-13,3.47721851313e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,77.057357,False,491,2.83442651563e-13,2.58459920133e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,77.306733,False,614,2.8245339473e-13,3.04534175655e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,77.55611,False,282,2.73534937805e-13,2.37976305328e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,77.805486,False,808,3.19815681089e-13,3.27682325718e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,78.054863,False,717,2.84668151441e-13,2.8943514252e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,78.304239,False,433,2.76490403577e-13,2.48689957516e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,78.553616,False,108,8.18039052135e-14,8.39328606617e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,78.802993,False,534,2.75108275736e-13,2.83384427036e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,79.052369,False,493,2.84351987528e-13,2.79554157601e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,79.301746,False,475,2.57451370164e-13,2.63900012953e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,79.551122,False,96,7.23240911604e-14,6.50035580918e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,79.800499,False,441,3.12617404878e-13,3.13082892944e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,80.049875,False,490,2.30120684413e-13,2.35922392733e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,80.299252,False,51,8.32601961232e-14,8.74855743405e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,80.548628,False,449,2.20634943129e-13,2.26152430116e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,80.798005,False,172,2.65125131152e-13,2.6012525467e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,81.047382,False,304,2.84709025361e-13,2.82440737465e-13,1,0,0,1,False
