hip_delta,knee_delta,phase_delta,trajectory_id,trajectory_sha256,trajectory_admissible,trajectory_feasible,domain_coverage,max_joint_deviation_deg,hip_max_deviation_deg,knee_max_deviation_deg,max_pull_deviation_mm,invalid_reason,alpha_bounds_valid,global_rom_valid,workspace_valid,jacobian_valid,force_mapping_valid,domain_valid,velocity_valid,acceleration_valid,closure_valid,continuity_valid,asymmetry_valid,finite_valid,pointwise_clipping_applied,parent_reference_sha256
-5,-4.75,-0.01,asym_h-5.000_k-4.750_p-0.01000,4ccb2818258ff90060ac33aa4e1543a80a27fa1f6bcb8f12ac25cd1bde5d9c91,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000355,35.98226048583745,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.0074999999999999997,asym_h-5.000_k-4.750_p-0.00750,8173dccd24e8c64548f43a3491bb96f2e9a872d3ed054cd23d3a97837306e9cf,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.98105276558946,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.0050000000000000001,asym_h-5.000_k-4.750_p-0.00500,cc679ece2d74774d58aded06cb51820f4e627c95e064cd5bb2a5f22f01905db5,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.980048433296304,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,-0.0025000000000000001,asym_h-5.000_k-4.750_p-0.00250,31660291ffe93356535ed715d784344a0a2ea50ef8137766ca8530da42684064,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.979220779402148,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0,asym_h-5.000_k-4.750_p+0.00000,37b78c44ed7670c2ca018ca1b235f18540c2822a49162c6d6de1d72c97eaf433,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.978441643665334,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0.0025000000000000001,asym_h-5.000_k-4.750_p+0.00250,9041399ddb8e72f27bc49b82bb05751dc83debcf3b81fb1a1c6199c7a8d701cf,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.977802863297661,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0.0050000000000000001,asym_h-5.000_k-4.750_p+0.00500,11a20936d758d1b36805b378ce64d659a58ca207ac116d85a94a4f847a271fd6,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.977164142030297,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0.0074999999999999997,asym_h-5.000_k-4.750_p+0.00750,8b7ac9a37e52d84ec81a740e9e1d637b99dbec9da73a42a99d85258ea80e7fbc,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.976664679962298,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0.01,asym_h-5.000_k-4.750_p+0.01000,afc83dc1008a6ea00e2501acfa28f45547752d4c20ae0a3c12d1a4d6a6c1dfb7,True,True,100,5.0000000000000329,5.0000000000000329,4.7500000000000604,35.976180741001556,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-4.75,0.012500000000000001,asym_h-5.000_k-4.750_p+0.01250,b4c68e8a6048755d3a46fc0271685074f5477ed5228580db967e8233020dceb1,True,True,100,5.0000000000000329,5.0000000000000329,4.9418118414659515,35.975731576938379,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
