subject_id,rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid,mass_thigh_kg,mass_shank_kg,com_thigh_m,com_shank_m,k_hip_nm_per_rad,k_knee_nm_per_rad,q0_hip_rad,q0_knee_rad,gravity_m_s2,tau_gravity_hip_nm,tau_gravity_knee_nm,tau_stiffness_hip_nm,tau_stiffness_knee_nm,tau_total_hip_nm,tau_total_knee_nm,fx_robot_on_leg_n,fz_robot_on_leg_n,force_magnitude_n,force_mapping_valid,invalid_reason
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.122173047639603,0.0,7.0,7.0,0.4168693836893552,0.0511851242301619,0.7168693836893552,0.0511851242301619,True,False,0.015355537269048576,39.47322768003234,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.90482057794803,-6.2784,-0.7853981633974492,-0.6283185307179593,34.119422414550584,-6.90671853071796,-344.1502290242543,23.0223951023932,344.9194265530682,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.1396263401595463,-0.0174532925199432,7.0,8.0,0.4168693836893552,0.0511851242301619,0.7168236922362725,0.0459494022989768,True,False,0.01753581072096824,34.525900164283435,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.90386434721792,-6.277443769269888,-0.7853981633974492,-0.4188790204786397,34.11846618382047,-6.696322789748527,-309.8743589766452,27.733353147195377,311.1129332380347,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.1570796326794896,-0.0349065850398865,7.0,9.0,0.4168693836893552,0.0511851242301619,0.716686631795084,0.0407152752194116,True,False,0.019710742595069084,30.67641523713566,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.90099594630472,-6.274575368356691,-0.7853981633974492,-0.20943951023932017,34.11559778290727,-6.484014878596011,-283.1673050359477,31.514977429755515,284.9156303955953,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.1745329251994329,-0.0523598775598298,7.0,10.0,0.4168693836893552,0.0511851242301619,0.7164582441157273,0.0354843373572787,True,False,0.021879670386033213,27.595419393311108,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.89621624895115,-6.269795671003116,-0.7853981633974492,-6.661338147750939e-16,34.1108180855537,-6.269795671003117,-261.75779707846743,34.64614485490341,264.04071596001836,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.1919862177193762,-0.0698131700797731,7.0,11.0,0.4168693836893552,0.0511851242301619,0.7161385987673025,0.0302581821069243,True,False,0.024041933417444643,25.073323960125244,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.88952671109931,-6.263106133151281,-0.7853981633974492,0.20943951023931917,34.10412854770186,-6.053666622911962,-244.20047034950977,37.30432389938867,247.03336272761277,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.2094395102393195,-0.0872664625997164,7.0,12.0,0.4168693836893552,0.0511851242301619,0.7157277931168788,0.0250384014058644,True,False,0.026196873043037673,22.9704030837584,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.88092937044725,-6.254508792499216,-0.7853981633974492,0.4188790204786387,34.0955312070498,-5.835629772020577,-229.53173827545913,39.60782811754483,232.92401963718308,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.2268928027592628,-0.1047197551196597,7.0,13.0,0.4168693836893552,0.0511851242301619,0.7152259522998372,0.0198265852498659,True,False,0.028343832847326975,21.18992341415762,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.8704268458282,-6.2440062678801675,-0.7853981633974492,0.6283185307179582,34.085028682430746,-5.61568773716221,-217.08449320148333,41.638568029845224,221.04173256677325,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.2443460952792061,-0.122173047639603,7.0,14.0,0.4168693836893552,0.0511851242301619,0.7146332291817519,0.0146243212086176,True,False,0.030482158845558126,19.66278963925167,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.8580223364129,-6.231601758464876,-0.7853981633974492,0.8377580409572777,34.072624173015456,-5.393843717507599,-206.38222109215315,43.455052202894166,210.90747436941783,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.2617993877991494,-0.1396263401595463,7.0,15.0,0.4168693836893552,0.0511851242301619,0.7139498043118263,0.0094331939421423,True,False,0.032611199682917626,18.33833180546817,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.8437196207351,-6.217299042787076,-0.7853981633974492,1.0471975511965974,34.058321457337655,-5.170101491590478,-197.0754703456806,45.10018789817401,202.17014606618315,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.122173047639603,0.2792526803190927,-0.1570796326794896,7.0,16.0,0.4168693836893552,0.0511851242301619,0.7131758858678965,0.0042547847180926,True,False,0.03473030683294189,17.17854739304427,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,34.82752305554054,-6.201102477592514,-0.7853981633974492,1.2566370614359172,34.04212489214309,-4.944465416156596,-188.90214479713492,46.606156478210124,194.5665801997587,True,
