hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
110.0,DESCENDING_125_TO_100,11.040000000000001,124.7608287166464,124.16740973342954,0.0006773142482357844,477.7328367062162,"[0.0069002750742587285,0.0015971537792717073,-0.0005961725467134179,0.2609264327851351,-0.015418978419152952,-0.023725896730876564,-1.8780604956937792]",True,0
110.0,DESCENDING_125_TO_100,11.06,124.7475815476336,124.1560687959222,0.0006770349887041368,477.52185423437464,"[0.00690018395233838,0.0015969908066489691,-0.000600603897729443,0.26092851303167874,-0.01542610378866719,-0.023723914844302977,-1.8778198038357137]",True,0
110.0,DESCENDING_125_TO_100,11.08,124.7338863438848,124.14434330956192,0.0006767459871020835,477.3038437189418,"[0.006900089626988692,0.0015968224621486211,-0.0006051765868688917,0.26093066333393805,-0.015433471327355518,-0.023721863561164992,-1.877570996028584]",True,0
110.0,DESCENDING_125_TO_100,11.1,124.719737985,124.13222879658679,0.0006764471357192077,477.0787336150549,"[0.006899992051472597,0.0015966486922955902,-0.0006098914658003282,0.2609328844629482,-0.015441083875011235,-0.023719741868034938,-1.8773139818281621]",True,0
110.0,DESCENDING_125_TO_100,11.120000000000001,124.7051314634752,124.11972087141385,0.0006761383300336711,476.8464546272538,"[0.006899891179290959,0.0015964694453294251,-0.0006147493070847033,0.26093517717017717,-0.01544894421388465,-0.023717548756129855,-1.877048672965761]",True,0
110.0,DESCENDING_125_TO_100,11.14,124.6900618841264,124.10681524007997,0.0006758194687104769,476.6069397072032,"[0.00689978696416927,0.001596284671205463,-0.0006197508037015833,0.26093754218756016,-0.015457055069029143,-0.023715283221014228,-1.8767749833397602]",True,0
110.0,DESCENDING_125_TO_100,11.16,124.6745244635136,124.09350769968573,0.0006754904535992909,476.3601240512116,"[0.006899679360044564,0.0015960943215946846,-0.0006248965686004136,0.2609399802275304,-0.01546541910864441,-0.02371294426230879,-1.8764928290070721]",True,0
110.0,DESCENDING_125_TO_100,11.18,124.6585145293648,124.07979413784291,0.0006751511897311914,476.1059450974612,"[0.006899568321052613,0.0015958983498828975,-0.0006301871342754805,0.2609424919830512,-0.015474038944416646,-0.023710530883405145,-1.876202128174531]",True,0
110.0,DESCENDING_125_TO_100,11.200000000000001,124.64202752,124.06567053212463,0.0006748015853154819,475.8443425229243,"[0.006899453801515415,0.0015956967111695316,-0.0006356229523655102,0.26094507812764584,-0.015482917131855137,-0.023708042091186335,-1.87590280119022]",True,0
110.0,DESCENDING_125_TO_100,11.22,124.6250589837552,124.05113294951988,0.0006744415517355119,475.5752582398956,"[0.006899335755928937,0.0015954893622661334,-0.0006412043932795347,0.2609477393154262,-0.015492056170625445,-0.023705476895753672,-1.8755947705347136]",True,0
110.0,DESCENDING_125_TO_100,11.24,124.6076045784064,124.03617754589058,0.0006740710035444738,475.29863639249766,"[0.006899214138951216,0.0015952762616946543,-0.0006469317458479339,0.26095047618112105,-0.015501458504879252,-0.023702834310159616,-1.8752779608122512]",True,0
110.0,DESCENDING_125_TO_100,11.26,124.5896600705936,124.02080056543235,0.0006736898584603305,475.0144233523927,"[0.006899088905390703,0.0015950573696855064,-0.0006528052170009094,0.2609532893401029,-0.015511126523580696,-0.023700113350147243,-1.8749522987418288]",True,0
110.0,DESCENDING_125_TO_100,11.28,124.5712213352448,124.00499834013922,0.0006732980373607977,474.7225677146756,"[0.00689896001019494,0.0015948326481754062,-0.0006588249314742736,0.2609561793884137,-0.015521062560828459,-0.023697313033896023,-1.874617713148211]",True,0
