model,step,beta_radius,endpoint,count,reference,minimum,improvement_pct,landscape_range_pct,beta_flex,beta_extend,share_shift,flexion_share,beta_boundary,share_boundary,near_minimum_0p1pct,best_hip_speed_ratio,best_knee_speed_ratio,best_hip_accel_ratio,best_knee_accel_ratio
LEG_3_NONLINEAR_COUPLED,step2,0.12,E2,405,1.0,0.9999413368563548,0.005866314364522118,6.347227953496648,0.0,0.0,0.1,0.6666666666666666,False,True,18,1.2999999999999998,1.3,1.69,1.69
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.03,E0,25,164.0675166980404,163.68133393395564,0.23538039208304634,0.4687909763145216,-0.03,0.03,0.0,0.5666666666666667,True,False,3,1.0,1.0287391451148613,1.0,1.1849068453419613
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.03,E2,25,1.0,0.9992936589002313,0.0706341099768748,1.1207197444038641,-0.03,0.03,0.0,0.5666666666666667,True,False,9,1.0,1.0287391451148613,1.0,1.1849068453419613
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.06,E0,81,164.0675166980404,163.29113590855934,0.47320810670278146,0.9386896687912245,-0.06,0.06,0.0,0.5666666666666667,True,False,3,1.0,1.0898210204986667,1.0,1.3204489597448095
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.06,E2,81,1.0,0.9985143618590828,0.14856381409171782,2.3045837893270082,-0.06,0.06,0.0,0.5666666666666667,True,False,9,1.0,1.0898210204986667,1.0,1.3204489597448095
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.09,E0,169,164.0675166980404,162.89658758764605,0.7136873489402547,1.4106461723395731,-0.09,0.09,0.0,0.5666666666666667,True,False,3,1.0,1.1746568056236961,1.0,1.5946824259441275
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.09,E2,169,1.0,0.9976525510331318,0.23474489668682263,3.544115137338588,-0.09,0.075,0.0,0.5666666666666667,True,False,12,1.0,1.1319353662613179,1.0,1.450502655661702
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.12,E0,289,164.0675166980404,162.4977236957132,0.9567969540346871,1.8853608776847968,-0.12,0.12,0.0,0.5666666666666667,True,False,4,1.0,1.2646204346137,1.0,1.795756998283431
LEG_4_STRONG_STRUCTURAL_MISMATCH,step1,0.12,E2,289,1.0,0.9967000196638984,0.3299980336101571,4.828649748570868,-0.12,0.105,0.0,0.5666666666666667,True,False,12,1.0,1.2186947887589745,1.0,1.6295249491585384
LEG_4_STRONG_STRUCTURAL_MISMATCH,step2,0.12,E0,405,164.0675166980404,161.17281372710053,1.76433643246241,3.438453533644037,-0.12,0.12,-0.1,0.4666666666666667,True,True,1,0.8125000000000001,1.0275041031236316,1.043352189341075,1.8436151804462078
LEG_4_STRONG_STRUCTURAL_MISMATCH,step2,0.12,E2,405,1.0,0.9966910472302296,0.330895276977039,4.9435865820332765,-0.12,0.12,0.1,0.6666666666666666,True,True,20,1.2999999999999998,1.6440065649978102,1.69,3.0348293270989983
MYOLEG_NATIVE_P0,step1,0.03,E0,25,37.641921488032025,37.559850719097184,0.21803023249207615,0.44201052615177283,0.03,-0.03,0.0,0.5666666666666667,True,False,4,1.0,1.018242514845305,1.0,0.9411959292323454
MYOLEG_NATIVE_P0,step1,0.03,E2,25,1.0,0.998879915009168,0.11200849908320487,1.2419342987607718,0.03,-0.03,0.0,0.5666666666666667,True,False,4,1.0,1.018242514845305,1.0,0.9411959292323454
MYOLEG_NATIVE_P0,step1,0.06,E0,81,37.641921488032025,37.47662577345755,0.4391266652714076,0.9022442381943082,0.06,-0.06,0.0,0.5666666666666667,True,False,4,1.0,1.0710082402955998,1.0,1.0717968042889885
MYOLEG_NATIVE_P0,step1,0.06,E2,81,1.0,0.9978449518313968,0.21550481686032352,2.4762597492209215,0.06,-0.06,0.0,0.5666666666666667,True,False,6,1.0,1.0710082402955998,1.0,1.0717968042889885
MYOLEG_NATIVE_P0,step1,0.09,E0,169,37.641921488032025,37.39141573383626,0.6654967235809429,1.3932269526402288,0.09,-0.09,0.0,0.5666666666666667,True,False,4,1.0,1.1505568039400336,1.0,1.2711089234858017
MYOLEG_NATIVE_P0,step1,0.09,E2,169,1.0,0.9968816843975212,0.31183156024787717,3.73562712910831,0.09,-0.09,0.0,0.5666666666666667,True,False,12,1.0,1.1505568039400336,1.0,1.2711089234858017
MYOLEG_NATIVE_P0,step1,0.12,E0,289,37.641921488032025,37.30453532858881,0.8963042961302661,1.9245346949058244,0.12,-0.12,0.0,0.5666666666666667,True,False,4,1.0,1.2402817897996243,1.0,1.6306330818032677
MYOLEG_NATIVE_P0,step1,0.12,E2,289,1.0,0.9959795584708024,0.40204415291975604,5.051793287269546,0.12,-0.12,0.0,0.5666666666666667,True,False,15,1.0,1.2402817897996243,1.0,1.6306330818032677
MYOLEG_NATIVE_P0,step2,0.12,E0,405,37.641921488032025,36.84186435542816,2.1254417972744575,4.476741194114778,0.12,-0.12,0.1,0.6666666666666666,True,True,2,1.3,1.6123663267395114,1.69,2.7557699082475224
MYOLEG_NATIVE_P0,step2,0.12,E2,405,1.0,0.9955555150229772,0.4444484977022767,5.530989607611037,0.12,-0.12,0.1,0.6666666666666666,True,True,15,1.3,1.6123663267395114,1.69,2.7557699082475224
