model,beta_flex,beta_extend,share_shift,step1,step2,valid,invalid_reason,flexion_share,flexion_duration_s,extension_duration_s,min_warp_derivative,ROM_excess_rad,hip_speed_peak_deg_s,knee_speed_peak_deg_s,hip_accel_peak_deg_s2,knee_accel_peak_deg_s2,knee_angle_change_peak_deg,E0,E2,hip_torque_peak_Nm,knee_torque_peak_Nm,decomposition_residual_Nm,warning_count,hip_flex_RMS_Nm,hip_extend_RMS_Nm,knee_flex_RMS_Nm,knee_extend_RMS_Nm,hip_flex_relative,hip_extend_relative,knee_flex_relative,knee_extend_relative
LEG_0_NOMINAL,-0.12,0.075,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,9.770812443576915e-07,22.187512350414032,31.988072003980832,14.101230445371915,25.30659699375008,12.431064829097311,32.09253239993086,1.0015064577999389,36.72099442375398,16.726632019674042,,,29.539523023819715,30.89142038620604,11.387624473379253,10.646135582093384,1.0006308434276783,1.0015064577999389,0.9608600833127415,0.9655502118433729
LEG_0_NOMINAL,-0.12,0.09,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,1.1612261192617268e-06,18.0273537847114,26.97123322899682,14.712549657581809,32.16514371824968,13.55679253596286,32.23757344785153,1.0031903208226545,36.83034911315944,16.727124764549178,,,29.59132176569191,30.94335906328833,11.411605264160018,10.606812197348507,1.0023854898627704,1.0031903208226545,0.9628835241700843,0.9619837813599327
LEG_0_NOMINAL,-0.12,0.09,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,1.1612261192617268e-06,19.892252452095338,29.761360804410277,12.002746026580793,26.240866467333774,13.55679253596286,32.161389886206,1.0025034387209089,36.76689082082167,16.72692736403892,,,29.562823328747562,30.922172216617962,11.398414474679408,10.595139889550818,1.0014201250878214,1.0025034387209089,0.9617705174048077,0.9609251625606647
LEG_0_NOMINAL,-0.12,0.09,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,1.1612261192617268e-06,22.187512350414032,33.19536397414993,14.101230445371915,27.822069355658257,13.55679253596286,32.08528534636772,1.001667638710773,36.72099442375398,16.726335455368634,,,29.539523023819715,30.896392003948524,11.387624473379253,10.580846660721116,1.0006308434276783,1.001667638710773,0.9608600833127415,0.9596288395880682
LEG_0_NOMINAL,-0.12,0.09,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,1.1612261192617268e-06,25.081535700468038,37.5251940577347,18.019719812989447,35.553343826890334,13.55679253596286,32.00929029869946,1.000629164613533,36.684936145941656,16.725040307969294,,,29.520117461513284,30.864360318432986,11.37863475402594,10.562939309082612,0.9999734934710722,1.000629164613533,0.9601015526370089,0.9580047341053995
LEG_0_NOMINAL,-0.12,0.09,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,1.1612261192617268e-06,28.84376605553824,43.1539731663949,23.831079452678534,47.01929721106245,13.55679253596286,31.93348255270356,0.9994175487358747,36.65535397402115,16.72244144604101,,,29.503705472603283,30.823528851689677,11.371029613016136,10.539851372489549,0.9994175487358747,0.9993053997262723,0.9594598493176407,0.9559107759835479
LEG_0_NOMINAL,-0.12,0.105,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,1.3416464099691439e-06,22.187512350414032,34.43986098116011,14.101230445371915,28.429959103252035,15.655566470668626,32.07800544041894,1.0017838277628577,36.72099442375398,16.726034541392888,,,29.539523023819715,30.89997584988808,11.387624473379253,10.5190066691726,1.0006308434276783,1.0017838277628577,0.9608600833127415,0.9540202676814232
LEG_0_NOMINAL,-0.12,0.12,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633689,1.518356060881132e-06,18.0273537847114,29.036883389962483,14.712549657581809,32.16514371824968,17.672158546781056,32.219682380229585,1.0033768473880706,36.83034911315944,16.72671837426748,,,29.59132176569191,30.94911246657454,11.411605264160018,10.486908022469644,1.0023854898627704,1.0033768473880706,0.9628835241700843,0.9511090840988983
LEG_0_NOMINAL,-0.12,0.12,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633689,1.518356060881132e-06,19.892252452095338,32.040698913062045,12.002746026580793,26.240866467333774,17.672158546781056,32.145132361802254,1.0026898376068671,36.76689082082167,16.726431465510643,,,29.562823328747562,30.9279216816372,11.398414474679408,10.475088739131028,1.0014201250878214,1.0026898376068671,0.9617705174048077,0.9500371353675077
LEG_0_NOMINAL,-0.12,0.12,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633689,1.518356060881132e-06,22.187512350414032,35.73770263379997,14.101230445371915,31.330172665925865,17.672158546781056,32.070668427474644,1.0018539002898708,36.72099442375398,16.725729309328052,,,29.539523023819715,30.902137233743996,11.387624473379253,10.460608375395099,1.0006308434276783,1.0018539002898708,0.9608600833127415,0.9487238402131315
