subject_id,direction,reference_candidate_id,neighbor_candidate_id,signed_beta_step,reference_j,neighbor_j,delta_j_neighbor_minus_reference,finite_difference_dj_dbeta,delta_sign,neighbor_is_descent
MYOLEG_VP_018,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0000000000000002,1.0002146649604504,0.0002146649604501949,-0.08586598418007796,1,False
MYOLEG_VP_018,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0000000000000002,0.9998059287748028,-0.00019407122519743414,-0.07762849007897366,-1,True
MYOLEG_VP_018,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0000000000000002,0.9997476652496741,-0.00025233475032615527,0.1009339001304621,-1,True
MYOLEG_VP_018,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0000000000000002,1.0002716495679844,0.00027164956798420015,0.10865982719368006,1,False
MYOLEG_VP_019,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0,1.000206290123815,0.00020629012381490064,-0.08251604952596026,1,False
MYOLEG_VP_019,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0,0.999814168837877,-0.00018583116212300688,-0.07433246484920275,-1,True
MYOLEG_VP_019,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0,0.9997567052486778,-0.00024329475132223166,0.09731790052889266,-1,True
MYOLEG_VP_019,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0,1.0002624615109692,0.000262461510969203,0.1049846043876812,1,False
MYOLEG_VP_021,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,0.9999999999999998,1.0001954072587156,0.00019540725871580733,-0.07816290348632293,1,False
MYOLEG_VP_021,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,0.9999999999999998,0.9998253577290398,-0.0001746422709599793,-0.06985690838399172,-1,True
MYOLEG_VP_021,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,0.9999999999999998,0.9997667206928375,-0.00023327930716232625,0.0933117228649305,-1,True
MYOLEG_VP_021,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,0.9999999999999998,1.0002527342711645,0.0002527342711646785,0.1010937084658714,1,False
MYOLEG_VP_022,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0000000000000004,1.000214419105098,0.000214419105097452,-0.0857676420389808,1,False
MYOLEG_VP_022,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0000000000000004,0.9998058079263705,-0.00019419207362991742,-0.07767682945196697,-1,True
MYOLEG_VP_022,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0000000000000004,0.9997494243209705,-0.000250575679029974,0.10023027161198961,-1,True
MYOLEG_VP_022,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0000000000000004,1.00026953208482,0.00026953208481961255,0.10781283392784502,1,False
MYOLEG_VP_023,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0000000000000002,1.0002156117564984,0.00021561175649820186,-0.08624470259928074,1,False
MYOLEG_VP_023,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0000000000000002,0.9998057801928556,-0.0001942198071446244,-0.07768792285784976,-1,True
