subject_i,subject_j,spearman_rank_correlation,kendall_tau_b
MYOLEG_VP_014,MYOLEG_VP_017,0.9999831408208405,0.9977538461538463
MYOLEG_VP_014,MYOLEG_VP_018,0.9999895797493242,0.9984717948717949
MYOLEG_VP_014,MYOLEG_VP_019,0.9999976898500861,0.9995794871794873
MYOLEG_VP_014,MYOLEG_VP_021,0.9999315310887197,0.9939692307692308
MYOLEG_VP_014,MYOLEG_VP_022,0.9999679528139593,0.9962871794871797
MYOLEG_VP_014,MYOLEG_VP_023,0.9999660850331777,0.9960923076923078
MYOLEG_VP_014,MYOLEG_VP_025,0.9998578028999756,0.9909128205128207
MYOLEG_VP_014,MYOLEG_VP_026,0.9998091914475302,0.9893538461538463
MYOLEG_VP_014,MYOLEG_VP_027,0.9999345293683952,0.9941230769230771
MYOLEG_VP_014,MYOLEG_VP_029,0.9999940525927746,0.9990666666666668
MYOLEG_VP_014,MYOLEG_VP_030,0.9998895551732613,0.9920923076923078
MYOLEG_VP_014,MYOLEG_VP_031,0.9999971491767019,0.9994666666666668
MYOLEG_VP_015,MYOLEG_VP_017,0.9999932170066357,0.9989538461538462
MYOLEG_VP_015,MYOLEG_VP_018,0.9999877611206686,0.9982358974358976
MYOLEG_VP_015,MYOLEG_VP_019,0.9999672646841978,0.9962871794871797
MYOLEG_VP_015,MYOLEG_VP_021,0.9998488080609488,0.9906769230769232
MYOLEG_VP_015,MYOLEG_VP_022,0.999997739002212,0.9995794871794873
MYOLEG_VP_015,MYOLEG_VP_023,0.9999965101990662,0.9993846153846155
MYOLEG_VP_015,MYOLEG_VP_025,0.999937478495945,0.9942051282051284
MYOLEG_VP_015,MYOLEG_VP_026,0.9999053821577784,0.992646153846154
MYOLEG_VP_015,MYOLEG_VP_027,0.9998538215777834,0.9908307692307693
MYOLEG_VP_015,MYOLEG_VP_029,0.9999604325387074,0.9957743589743591
MYOLEG_VP_015,MYOLEG_VP_030,0.9999574834111578,0.9953846153846155
MYOLEG_VP_015,MYOLEG_VP_031,0.9999782747603835,0.9972410256410257
MYOLEG_VP_017,MYOLEG_VP_018,0.999995723765053,0.9992820512820514
MYOLEG_VP_017,MYOLEG_VP_019,0.9999787662816417,0.9973333333333334
MYOLEG_VP_017,MYOLEG_VP_021,0.9998794298353405,0.991723076923077
MYOLEG_VP_017,MYOLEG_VP_022,0.9999901204227084,0.9985333333333335
MYOLEG_VP_017,MYOLEG_VP_023,0.9999890390759401,0.9983384615384617
MYOLEG_VP_017,MYOLEG_VP_025,0.9999144753010568,0.9931589743589745
MYOLEG_VP_017,MYOLEG_VP_026,0.9998781518800689,0.9916
MYOLEG_VP_017,MYOLEG_VP_027,0.999883853526665,0.9918769230769232
MYOLEG_VP_017,MYOLEG_VP_029,0.9999730646350456,0.996820512820513
MYOLEG_VP_017,MYOLEG_VP_030,0.9999389039075941,0.9943384615384616
MYOLEG_VP_017,MYOLEG_VP_031,0.9999878594249203,0.9982871794871796
MYOLEG_VP_018,MYOLEG_VP_019,0.999985893339887,0.9980512820512822
MYOLEG_VP_018,MYOLEG_VP_021,0.9998977144261492,0.9924410256410258
MYOLEG_VP_018,MYOLEG_VP_022,0.9999842221676088,0.9978153846153847
MYOLEG_VP_018,MYOLEG_VP_023,0.999982747603834,0.9976205128205129
MYOLEG_VP_018,MYOLEG_VP_025,0.9998978127304007,0.9924410256410258
MYOLEG_VP_018,MYOLEG_VP_026,0.9998576062914724,0.9908820512820514
MYOLEG_VP_018,MYOLEG_VP_027,0.9999015482919636,0.9925948717948719
MYOLEG_VP_018,MYOLEG_VP_029,0.9999811255836816,0.9975384615384616
MYOLEG_VP_018,MYOLEG_VP_030,0.9999241582698453,0.993620512820513
MYOLEG_VP_018,MYOLEG_VP_031,0.9999935610715164,0.9990051282051283
MYOLEG_VP_019,MYOLEG_VP_021,0.9999400344064883,0.9943897435897437
MYOLEG_VP_019,MYOLEG_VP_022,0.9999624477758663,0.9958666666666668
MYOLEG_VP_019,MYOLEG_VP_023,0.9999605308429591,0.995671794871795
MYOLEG_VP_019,MYOLEG_VP_025,0.9998453182600148,0.9904923076923078
MYOLEG_VP_019,MYOLEG_VP_026,0.9997947407225364,0.9889333333333336
