rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8726646259971648,0.13962634015954645,58.0,50.0,0.22256609097794605,0.35618020038569886,0.5196465116004172,0.3979321306737185,True,False,0.09652159983299123,5.177493367194566,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.8901179185171081,0.12217304763960313,58.0,51.0,0.22256609097794605,0.35618020038569886,0.5203299364703426,0.3927410034072431,True,False,0.09792039114357833,5.061697217425433,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9075712110370514,0.10471975511965981,58.0,52.0,0.22256609097794605,0.35618020038569886,0.520922659588428,0.3875387393659949,True,False,0.09928935495444695,4.950062257307611,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9250245035569946,0.0872664625997166,58.0,53.0,0.22256609097794605,0.35618020038569886,0.5214245004054697,0.38232692320999634,True,False,0.1006280742659589,4.84235203292892,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9424777960769379,0.06981317007977328,58.0,54.0,0.22256609097794605,0.35618020038569886,0.5218353060558933,0.3771071425089365,True,False,0.10193614129124333,4.738347584562386,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9599310885968813,0.05235987755982996,58.0,55.0,0.22256609097794605,0.35618020038569886,0.5221549514043182,0.37188098725858204,True,False,0.10321315758041295,4.637845856073541,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9773843811168246,0.03490658503988664,58.0,56.0,0.22256609097794605,0.35618020038569886,0.5223833390836747,0.3666500493964492,True,False,0.10445873414193522,4.540658274743008,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,0.9948376736367679,0.01745329251994332,58.0,57.0,0.22256609097794605,0.35618020038569886,0.5225203995248634,0.3614159223168839,True,False,0.10567249156112339,4.446609480576087,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.0122909661567112,0.0,58.0,58.0,0.22256609097794605,0.35618020038569886,0.522566090977946,0.35618020038569886,True,False,0.10685406011570964,4.355536187057694,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.0297442586766545,-0.01745329251994332,58.0,59.0,0.22256609097794605,0.35618020038569886,0.5225203995248634,0.3509444784545138,True,False,0.10800307988846616,4.267286157757436,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.0471975511965976,-0.03490658503988642,58.0,60.0,0.22256609097794605,0.35618020038569886,0.5223833390836747,0.3457103513749486,True,False,0.10911920087683925,4.181717285268839,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.064650843716541,-0.05235987755982974,58.0,61.0,0.22256609097794605,0.35618020038569886,0.5221549514043182,0.34047941351281574,True,False,0.11020208309956385,4.098696760739408,False,True
